Sender,Receiver,Ligand,Receptor,LRscore
Tcell,Bcell,ADAM12,ITGB1,0
Tcell,Bcell,ADAM12,SDC4,0
Malignant,Stroma,ADAM15,ITGA5,0.04971623350782663
Malignant,Stroma,ADAM15,ITGAV,0.07298790082177026
Malignant,Stroma,ADAM15,ITGB1,0
Bcell,Macrophage,ADAM17,ITGA5,0
Bcell,Macrophage,ADAM17,ITGB1,0
Malignant,Stroma,ADAM17,ITGA5,0.006522278954547393
Malignant,Stroma,ADAM17,ITGB1,0.021454746853093766
Malignant,Stroma,ADAM17,NOTCH1,0
Malignant,Stroma,ADAM9,ITGAV,0.01818104872986352
Malignant,Stroma,ADAM9,ITGB1,0.03937900262568222
Malignant,Stroma,ADAM9,ITGB5,0.034623223628021484
Malignant,Stroma,ALCAM,NRP1,0.026534641542319062
Bcell,Macrophage,ANGPT1,ITGA5,0
Bcell,Macrophage,ANGPT1,ITGB1,0
Bcell,Macrophage,ANGPT2,ITGA5,0
Bcell,Macrophage,ANGPT2,ITGB1,0
Endothelial,Macrophage,ANGPT2,ITGA5,4.342557130218769e-4
Endothelial,Macrophage,ANGPT2,ITGB1,0.0014911532292164788
Tcell,Bcell,ANGPT2,ITGB1,0
Bcell,Macrophage,ANGPTL1,ITGB1,0
Malignant,Stroma,ANG,PLXNB2,0.03655271541463355
Malignant,Endothelial,APP,CAV1,0.02642765403310003
Malignant,Stroma,APP,CAV1,0.025719866801596387
Malignant,Stroma,APP,CD74,0.26001176486801447
Malignant,Stroma,APP,NCSTN,0
Malignant,Stroma,AZGP1,ITGAV,0.09774644071383248
Malignant,Stroma,B2M,HLA-F,0
Tcell,Bcell,BMP2,BMPR1A,0
Tcell,Bcell,BMP2,ENG,0
Malignant,Stroma,BMP4,ACVR2A,0
Malignant,Stroma,BMP4,RGMB,0
Malignant,Stroma,CADM1,CADM1,0
Malignant,Stroma,CALM1,PTPRA,0
Malignant,Stroma,CALR,HLA-F,0
Malignant,Stroma,CALR,ITGAV,0.10798693208941094
Bcell,Macrophage,CCL13,CCR5,0
Malignant,Stroma,CCL5,SDC1,0
Malignant,Stroma,CCL5,SDC4,0
Bcell,Macrophage,CD14,ITGB1,0.02824859297537609
Malignant,Stroma,CD226,PVR,0
Tcell,Bcell,CD226,PVR,0
Tcell,Bcell,CD40LG,CD40,0
Tcell,Bcell,CD40LG,ITGAM,0
Tcell,Bcell,CD40LG,ITGB1,0
Tcell,Bcell,CD40LG,ITGB2,0
Tcell,Bcell,CD40LG,TRAF3,0
Malignant,Stroma,CD47,SIRPA,0
Malignant,Stroma,CD59,CD2,0.04408640302779811
Tcell,Bcell,CD96,PVR,0
Malignant,Endothelial,CDH1,CDH1,0
Malignant,Stroma,CDH1,CDH1,0
Malignant,Stroma,CDH1,ERBB3,0
Malignant,Stroma,CDH1,ITGB1,0.17857726982852934
Malignant,Endothelial,CDH1,LRP5,0.012086066872857855
Malignant,Stroma,CDH1,LRP5,0
Malignant,Endothelial,CDH1,PTPRM,0.02091232180055372
Tcell,Bcell,CFH,ITGAM,0
Malignant,Stroma,CGA,SIRPA,0
Endothelial,Macrophage,COL4A2,CD44,0.04993374361667836
Endothelial,Macrophage,COL4A2,ITGAV,0.025838135172738936
Endothelial,Macrophage,COL4A2,ITGB1,0.055149564903627414
Endothelial,Macrophage,COL4A2,SDC1,0.05428131539349013
Endothelial,Macrophage,COL4A2,SDC4,0.06366007869161931
Bcell,Macrophage,COL4A3,ITGB1,0
Bcell,Macrophage,COL4A3,SDC1,0
Tcell,Bcell,COL4A3,CD44,0
Tcell,Bcell,COL4A3,ITGB1,0
Tcell,Bcell,COL4A3,SDC1,0
Tcell,Bcell,COL4A3,SDC4,0
Malignant,Stroma,COL4A5,CD47,0.0020089494929861045
Malignant,Stroma,COL4A5,ITGA11,0
Malignant,Stroma,COL4A5,ITGA1,3.7269167321377214e-4
Malignant,Stroma,COL4A5,ITGAV,0.0017580313386963155
Malignant,Stroma,COL4A5,ITGB1,0.00388921610915734
