Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Stroma,HLA-C,IL6ST,21.10544210959373,Malignant_HLA-C_Stroma_IL6ST
Macrophage,Malignant,HLA-DRA,CD63,26.102700972566222,Macrophage_HLA-DRA_Malignant_CD63
Macrophage,Bcell,HLA-DRA,CD74,41.84760281263773,Macrophage_HLA-DRA_Bcell_CD74
Macrophage,Malignant,HLA-DRA,CD74,35.390743697148125,Macrophage_HLA-DRA_Malignant_CD74
Macrophage,Stroma,HLA-DRA,CD74,37.85621690741921,Macrophage_HLA-DRA_Stroma_CD74
Macrophage,Malignant,HLA-DRA,ENO1,22.20160892740985,Macrophage_HLA-DRA_Malignant_ENO1
Macrophage,Malignant,HLA-DRA,IL6ST,24.291425316646684,Macrophage_HLA-DRA_Malignant_IL6ST
Macrophage,Stroma,HLA-DRA,IL6ST,21.999369003752772,Macrophage_HLA-DRA_Stroma_IL6ST
Malignant,Macrophage,HLA-DRB1,ENO1,19.326396694189025,Malignant_HLA-DRB1_Macrophage_ENO1
Malignant,Stroma,HLA-DRB1,IL6ST,17.8508427092284,Malignant_HLA-DRB1_Stroma_IL6ST
Malignant,Macrophage,HSPA1A,ENO1,17.775252237969063,Malignant_HSPA1A_Macrophage_ENO1
Malignant,Stroma,HSPA1A,IL6ST,17.346256755516805,Malignant_HSPA1A_Stroma_IL6ST
Malignant,Macrophage,IGFBP4,ENO1,18.30268109721871,Malignant_IGFBP4_Macrophage_ENO1
Malignant,Stroma,IGFBP4,IL6ST,18.674115671786982,Malignant_IGFBP4_Stroma_IL6ST
Malignant,Macrophage,LGALS3BP,CD63,23.715937366909174,Malignant_LGALS3BP_Macrophage_CD63
Malignant,Macrophage,LGALS3BP,ENO1,20.206950826278945,Malignant_LGALS3BP_Macrophage_ENO1
Malignant,Stroma,LGALS3BP,IL6ST,20.110560297422065,Malignant_LGALS3BP_Stroma_IL6ST
Macrophage,Malignant,LYZ,ENO1,18.608174590907304,Macrophage_LYZ_Malignant_ENO1
Macrophage,Malignant,LYZ,IL6ST,20.41352493135263,Macrophage_LYZ_Malignant_IL6ST
Macrophage,Stroma,LYZ,IL6ST,18.20235900366207,Macrophage_LYZ_Stroma_IL6ST
Malignant,Macrophage,MIF,CD63,27.98228259568418,Malignant_MIF_Macrophage_CD63
Malignant,Bcell,MIF,CD74,37.199662848913555,Malignant_MIF_Bcell_CD74
Malignant,Macrophage,MIF,CD74,38.20475004066826,Malignant_MIF_Macrophage_CD74
Malignant,Stroma,MIF,CD74,38.52439645864957,Malignant_MIF_Stroma_CD74
Malignant,Macrophage,MIF,ENO1,23.858456540655798,Malignant_MIF_Macrophage_ENO1
Malignant,Stroma,MIF,IL6ST,24.49011589485559,Malignant_MIF_Stroma_IL6ST
Macrophage,Malignant,PSAP,ENO1,22.973973790788442,Macrophage_PSAP_Malignant_ENO1
Macrophage,Malignant,PSAP,IL6ST,25.103058743528308,Macrophage_PSAP_Malignant_IL6ST
Macrophage,Stroma,PSAP,IL6ST,22.193835118795633,Macrophage_PSAP_Stroma_IL6ST
Malignant,Macrophage,TFF3,CD63,24.831430918947955,Malignant_TFF3_Macrophage_CD63
Malignant,Bcell,TFF3,CD74,31.460779368774716,Malignant_TFF3_Bcell_CD74
Malignant,Macrophage,TFF3,CD74,33.940165379729535,Malignant_TFF3_Macrophage_CD74
Malignant,Stroma,TFF3,CD74,32.977943156534806,Malignant_TFF3_Stroma_CD74
Malignant,Macrophage,TFF3,ENO1,21.126100997112513,Malignant_TFF3_Macrophage_ENO1
Malignant,Stroma,TFF3,IL6ST,20.984348540129517,Malignant_TFF3_Stroma_IL6ST
Malignant,Macrophage,TNFSF10,ENO1,15.610555729238866,Malignant_TNFSF10_Macrophage_ENO1
Malignant,Stroma,TNFSF10,IL6ST,15.20833786834335,Malignant_TNFSF10_Stroma_IL6ST
Malignant,Macrophage,UBA52,CD63,23.901266661626867,Malignant_UBA52_Macrophage_CD63
Malignant,Bcell,UBA52,CD74,35.58534230781232,Malignant_UBA52_Bcell_CD74
Malignant,Macrophage,UBA52,CD74,32.648576142891365,Malignant_UBA52_Macrophage_CD74
Malignant,Stroma,UBA52,CD74,31.82915105993502,Malignant_UBA52_Stroma_CD74
Malignant,Macrophage,UBA52,ENO1,20.365372378259707,Malignant_UBA52_Macrophage_ENO1
Malignant,Stroma,UBA52,IL6ST,20.25973043685898,Malignant_UBA52_Stroma_IL6ST
Macrophage,Malignant,VIM,ENO1,17.421022087884058,Macrophage_VIM_Malignant_ENO1
Macrophage,Malignant,VIM,IL6ST,18.96892645657869,Macrophage_VIM_Malignant_IL6ST
Macrophage,Stroma,VIM,IL6ST,18.21578148230329,Macrophage_VIM_Stroma_IL6ST
Macrophage,Malignant,ANXA2,ENO1,14.5589811287796,Macrophage_ANXA2_Malignant_ENO1
Macrophage,Malignant,ANXA2,IL6ST,15.882081324436003,Macrophage_ANXA2_Malignant_IL6ST
Macrophage,Stroma,ANXA2,IL6ST,14.514067457079044,Macrophage_ANXA2_Stroma_IL6ST
Macrophage,Malignant,APOE,CD63,28.332262740318225,Macrophage_APOE_Malignant_CD63
Macrophage,Bcell,APOE,CD74,40.94358986155877,Macrophage_APOE_Bcell_CD74
