ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
B2M__Malignant,CD74__Macrophage,B2M__Malignant|CD74__Macrophage,308.3383558736178,0,12429.71894516818,1171069.0756080004,1191.3004464073636,53.28807480900779,7.736225637451514
HLA-B__Malignant,CD74__Macrophage,HLA-B__Malignant|CD74__Macrophage,240.08367040219957,0,10010.248362071086,911837.7801875541,932.6197986406057,40.37302955570916,7.736225637451514
MIF__Malignant,CD74__Macrophage,MIF__Malignant|CD74__Macrophage,235.7016034700793,0,8563.509725557298,895194.6899793611,902.1276625271253,43.70585223720301,7.736225637451514
HLA-A__Malignant,CD74__Macrophage,HLA-A__Malignant|CD74__Macrophage,179.42246532054793,0,7211.709626918419,681446.5232874411,693.3461188134804,31.03118324208266,7.736225637451514
TFF3__Malignant,CD74__Macrophage,TFF3__Malignant|CD74__Macrophage,159.86271970195435,0,6513.11893621566,607158.6094280226,618.2992405353025,28.32932165010647,7.736225637451514
APOE__Macrophage,CD74__Malignant,APOE__Macrophage|CD74__Malignant,129.0364216754391,89.96391471900327,1227.7163647004916,490080.3295233177,151.8214113826466,6.424318242558926,27.971675213352512
HLA-C__Malignant,CD74__Macrophage,HLA-C__Malignant|CD74__Macrophage,119.7361981321522,0,5107.678321962541,454758.08050591405,465.1199954992517,20.50116626115124,7.736225637451514
CD24__Malignant,CD74__Macrophage,CD24__Malignant|CD74__Macrophage,97.12128748898189,0,3547.37112063804,368866.64988315327,376.8819795721936,17.664792125884766,7.736225637451514
UBA52__Malignant,CD74__Macrophage,UBA52__Malignant|CD74__Macrophage,87.53220044240581,0,3385.404579416272,332447.2972802573,338.2815064246972,15.977123501653127,7.736225637451514
PSAP__Macrophage,CD74__Malignant,PSAP__Macrophage|CD74__Malignant,82.58756322898545,57.80486435177794,809.7601743790569,313667.5651436867,96.61484315937894,4.120553171189394,27.971675213352512
HLA-DRA__Macrophage,CD74__Malignant,HLA-DRA__Macrophage|CD74__Malignant,75.70676975143982,53.1533325844141,773.2389631404791,287534.3115159684,89.16586207250289,3.765344818249655,27.971675213352512
APOE__Macrophage,BAMBI__Malignant,APOE__Macrophage|BAMBI__Malignant,72.31292056167744,41.25983728787665,833.9542294762722,274644.47229325096,92.91626931073208,6.424318242558926,15.04070305679784
FN1__Stroma,CD74__Malignant,FN1__Stroma|CD74__Malignant,71.22226273255599,46.32846606942644,702.173201609605,270502.1538582477,81.40705070634229,3.791117473611257,27.971675213352512
GNAS__Malignant,CD74__Macrophage,GNAS__Malignant|CD74__Macrophage,70.60187210405455,0,2501.836272708377,268145.91025119915,270.80156840668997,13.152725906951673,7.736225637451514
LGALS3BP__Malignant,CD74__Macrophage,LGALS3BP__Malignant|CD74__Macrophage,69.53211164918937,0,2676.1715442961963,264082.96004362125,268.2144477720816,12.223174829218673,7.736225637451514
HSPA1A__Malignant,CD74__Macrophage,HSPA1A__Malignant|CD74__Macrophage,63.926900473542965,0,2315.9118598436453,242794.36799851616,246.2955681298733,12.164245659901171,7.736225637451514
ARF1__Malignant,CD74__Macrophage,ARF1__Malignant|CD74__Macrophage,60.84396591609512,0,2215.3919674666117,231085.38254932928,234.09527252435618,11.327927432811919,7.736225637451514
CD9__Malignant,CD74__Macrophage,CD9__Malignant|CD74__Macrophage,57.5721590412843,0,2280.0653735935857,218659.0600387978,222.74145615004704,10.56470171391948,7.736225637451514
EFNA1__Malignant,CD74__Macrophage,EFNA1__Malignant|CD74__Macrophage,52.62544197612806,0,1976.7404298699807,199871.42862533437,205.45641875568413,9.79413117980602,7.736225637451514
B2M__Malignant,CD81__Stroma,B2M__Malignant|CD81__Stroma,49.45135622705895,0,1767.4393795014944,187816.2509503699,152.59236183007016,53.28807480900779,1.4535856479969007
TNFSF10__Malignant,CD74__Macrophage,TNFSF10__Malignant|CD74__Macrophage,49.15854432294152,0,2067.5668937152304,186704.1513385319,193.53105902891488,8.5561459417062,7.736225637451514
APOE__Macrophage,CD9__Malignant,APOE__Macrophage|CD9__Malignant,47.69870160750939,34.87649129381302,348.7584014470275,181159.66870532068,52.594274285246904,6.424318242558926,10.56470171391948
PSAP__Macrophage,BAMBI__Malignant,PSAP__Macrophage|BAMBI__Malignant,46.31549782677565,26.375737539771166,586.3967253984039,175906.2607460939,59.657872337582226,4.120553171189394,15.04070305679784
AZGP1__Malignant,CD74__Macrophage,AZGP1__Malignant|CD74__Macrophage,44.934210669371765,0,1650.7339198128655,170660.13212227396,172.74109513672818,8.49610378010731,7.736225637451514
B2M__Malignant,CD74__Stroma,B2M__Malignant|CD74__Stroma,44.76012963137214,0,2765.4740054110653,169998.97233995138,181.77882696089478,53.28807480900779,1.3465733596013119
LYZ__Macrophage,CD74__Malignant,LYZ__Macrophage|CD74__Malignant,43.62168059357014,30.49708549028253,469.0244642859354,165675.1428943794,51.686155325170475,2.1692082031036057,27.971675213352512
HLA-DRA__Macrophage,BAMBI__Malignant,HLA-DRA__Macrophage|BAMBI__Malignant,42.62872764056498,23.98902340962782,487.67669697202246,161903.9075788658,55.03467060552933,3.765344818249655,15.04070305679784
MIF__Malignant,CD81__Stroma,MIF__Malignant|CD81__Stroma,41.55298219325992,0,1485.8628935132508,157818.22637000118,128.71158250600033,43.70585223720301,1.4535856479969007
B2M__Malignant,CD81__Macrophage,B2M__Malignant|CD81__Macrophage,40.80978355809886,0,1780.9492894688735,154995.55795365945,165.68664655400582,53.28807480900779,1.0129718986130358
BST2__Malignant,CD74__Macrophage,BST2__Malignant|CD74__Macrophage,40.33720998488873,0,1430.8957662393702,153200.7235226074,156.21418848548137,7.44177658449465,7.736225637451514
IGFBP4__Malignant,CD74__Macrophage,IGFBP4__Malignant|CD74__Macrophage,40.249622964619704,0,1656.2741611019846,152868.06801962564,154.59565225931482,6.981457327415992,7.736225637451514
APOE__Macrophage,IL6ST__Malignant,APOE__Macrophage|IL6ST__Malignant,39.04640419725246,16.708051435926016,494.08772421373277,148298.24314116483,57.75752993678151,6.424318242558926,7.972520223468345
APOE__Macrophage,CD63__Malignant,APOE__Macrophage|CD63__Malignant,38.2220200073676,25.987433630375453,313.43490022308237,145167.23198798212,43.84956876044159,6.424318242558926,8.437647616205767
MIF__Malignant,CD74__Stroma,MIF__Malignant|CD74__Stroma,37.7324697886399,0,2032.5614444454611,143307.92025725433,152.90326482423387,43.70585223720301,1.3465733596013119
HLA-B__Malignant,CD81__Stroma,HLA-B__Malignant|CD81__Stroma,37.3081462581909,0,1306.3097594801677,141696.33948860905,114.20723457305463,40.37302955570916,1.4535856479969007
FN1__Stroma,BAMBI__Malignant,FN1__Stroma|BAMBI__Malignant,37.29225024361532,25.66534529331787,418.423471476556,141635.96642525098,46.476719254337695,3.791117473611257,15.04070305679784
B2M__Malignant,CD63__Macrophage,B2M__Malignant|CD63__Macrophage,35.98462777549244,0,1737.975796407718,136669.6162913203,151.71259631822383,53.28807480900779,0.8955163413277767
CXCL14__Malignant,CD74__Macrophage,CXCL14__Malignant|CD74__Macrophage,35.57876341541826,0,1923.4721601153917,135128.14345175854,143.7090808184406,7.381842565076551,7.736225637451514
HLA-B__Malignant,CD74__Stroma,HLA-B__Malignant|CD74__Stroma,34.01442528353037,0,2214.6586465512387,129186.78722684835,138.98441199128266,40.37302955570916,1.3465733596013119
HLA-DRB1__Malignant,CD74__Macrophage,HLA-DRB1__Malignant|CD74__Macrophage,33.06094328003649,0,1149.0895039497807,125565.4625775786,126.06712072886968,6.08415396900736,7.736225637451514
HLA-B__Malignant,CD81__Macrophage,HLA-B__Malignant|CD81__Macrophage,31.758029418712713,0,1430.517780352436,120616.99573227088,129.26243484361612,40.37302955570916,1.0129718986130358
MIF__Malignant,CD81__Macrophage,MIF__Malignant|CD81__Macrophage,31.10258682416304,0,1438.0186159671637,118127.62475817122,125.88427004779665,43.70585223720301,1.0129718986130358
PSAP__Macrophage,CD9__Malignant,PSAP__Macrophage|CD9__Malignant,30.537244945707993,22.403614760183608,213.44647977335757,115980.45630379896,33.573624300654906,4.120553171189394,10.56470171391948
HLA-A__Malignant,CD81__Stroma,HLA-A__Malignant|CD81__Stroma,28.67214759159724,0,1027.0145948120971,108896.81655288632,88.37368090333095,31.03118324208266,1.4535856479969007
HLA-B__Malignant,CD63__Macrophage,HLA-B__Malignant|CD63__Macrophage,28.032440176698852,0,1422.8191953938635,106467.20779110224,118.852252231244,40.37302955570916,0.8955163413277767
HLA-DRA__Macrophage,CD9__Malignant,HLA-DRA__Macrophage|CD9__Malignant,27.867050642630442,20.19453181948036,201.31812228701847,105839.05834071041,30.694965371280958,3.765344818249655,10.56470171391948
APOE__Macrophage,ERBB2__Malignant,APOE__Macrophage|ERBB2__Malignant,27.721097575037838,17.939222555739732,220.1490900797364,105284.7285899937,32.543307844434494,6.424318242558926,5.9725087975793345
MIF__Malignant,CD63__Macrophage,MIF__Malignant|CD63__Macrophage,27.41587883009217,0,1231.351417541988,104125.50779669006,114.46965970728304,43.70585223720301,0.8955163413277767
TFF3__Malignant,CD81__Stroma,TFF3__Malignant|CD81__Stroma,27.196211732438055,0,825.9085730155194,103291.21215979973,80.2294966867383,28.32932165010647,1.4535856479969007
FN1__Stroma,CD9__Malignant,FN1__Stroma|CD9__Malignant,27.110217104267928,17.46771955965825,218.3254121540591,102964.6045620096,31.294403834051366,3.791117473611257,10.56470171391948
HLA-A__Malignant,CD74__Stroma,HLA-A__Malignant|CD74__Stroma,26.011243165322274,0,1646.068162238555,98790.701541894,105.97620387775538,31.03118324208266,1.3465733596013119
TFF3__Malignant,CD74__Stroma,TFF3__Malignant|CD74__Stroma,25.95312973130937,0,1580.0583183183496,98569.98671951299,108.45233213123927,28.32932165010647,1.3465733596013119
APOE__Macrophage,ENO1__Malignant,APOE__Macrophage|ENO1__Malignant,25.93630413788746,18.747894865256455,245.09180018973873,98506.08311569657,29.53504235339411,6.424318242558926,5.961806937399298
C1QA__Macrophage,CD74__Malignant,C1QA__Macrophage|CD74__Malignant,25.226668366715344,17.479458140779567,256.019169438502,95810.88645678488,29.821643647923356,1.2498494337199684,27.971675213352512
PSAP__Macrophage,IL6ST__Malignant,PSAP__Macrophage|IL6ST__Malignant,24.876913649328063,10.884759772120649,308.22568205351644,94482.51804014797,36.415319290865945,4.120553171189394,7.972520223468345
LYZ__Macrophage,BAMBI__Malignant,LYZ__Macrophage|BAMBI__Malignant,24.83913575111661,13.632892506130073,297.33275434490855,94339.03758274089,32.4461886841934,2.1692082031036057,15.04070305679784
PSAP__Macrophage,CD63__Malignant,PSAP__Macrophage|CD63__Malignant,24.47904436768433,16.475209888793998,214.0296938285677,92971.4105084651,28.103246762902163,4.120553171189394,8.437647616205767
APOE__Macrophage,CD151__Malignant,APOE__Macrophage|CD151__Malignant,24.441861429118315,17.461169794356252,159.62179528450582,92830.18970779136,26.092389094922538,6.424318242558926,5.51159957558688
C1QB__Macrophage,CD74__Malignant,C1QB__Macrophage|CD74__Malignant,24.418284670575932,17.08523100792427,256.84343678975455,92740.6451788474,28.990843337287426,1.208112352032999,27.971675213352512
B2M__Malignant,IL6ST__Stroma,B2M__Malignant|IL6ST__Stroma,24.171608596078805,0,864.0747584218636,91803.76944790731,75.34796382310017,53.28807480900779,0.7118768139545881
HLA-A__Malignant,CD81__Macrophage,HLA-A__Malignant|CD81__Macrophage,23.755175751218363,0,1061.4877922927562,90222.15750312735,96.4950151731304,31.03118324208266,1.0129718986130358
HLA-DRA__Macrophage,IL6ST__Malignant,HLA-DRA__Macrophage|IL6ST__Malignant,22.975043412375193,9.756108968231409,279.64551130126216,87259.21488020099,34.10908575739609,3.765344818249655,7.972520223468345
B2M__Malignant,TYROBP__Macrophage,B2M__Malignant|TYROBP__Macrophage,22.589437966295925,0,1236.2714084540708,85794.68539599192,93.86664898719881,53.28807480900779,0.5806380080919443
GRN__Macrophage,CD74__Malignant,GRN__Macrophage|CD74__Malignant,22.490487758046076,15.756559041424847,210.7631478831951,85418.872505059,26.345361065378942,1.1142246233016815,27.971675213352512
HLA-DRA__Macrophage,CD63__Malignant,HLA-DRA__Macrophage|CD63__Malignant,22.385811385988035,14.99541216951818,174.35769661306492,85021.31164398255,25.75710243844833,3.765344818249655,8.437647616205767
VIM__Macrophage,CD74__Malignant,VIM__Macrophage|CD74__Malignant,22.087575787190584,15.623611605665651,233.02724494370224,83888.61283974984,25.78250335242519,1.1216877024819218,27.971675213352512
FN1__Stroma,CD63__Malignant,FN1__Stroma|CD63__Malignant,21.226957795625026,13.332753030725009,214.7155199892049,80619.98570778385,25.241364049756342,3.791117473611257,8.437647616205767
HLA-A__Malignant,CD63__Macrophage,HLA-A__Malignant|CD63__Macrophage,20.933713375110376,0,1012.9184013445729,79506.2433986692,88.2246256699117,31.03118324208266,0.8955163413277767
