thresh,raw,nonzero_filtered
0.400,6,5
0.401,6,5
0.402,6,5
0.403,6,5
0.404,7,6
0.405,7,6
0.406,7,6
0.407,7,6
0.408,7,6
0.409,7,6
0.410,7,6
0.411,7,6
0.412,7,6
0.413,9,8
0.414,10,9
0.415,10,9
0.416,12,11
0.417,12,11
0.418,12,11
0.419,12,11
0.420,12,11
0.421,12,11
0.422,13,12
0.423,13,12
0.424,13,12
0.425,13,12
0.426,13,12
0.427,13,12
0.428,14,12
0.429,14,12
0.430,15,13
0.431,15,13
0.432,16,14
0.433,17,15
0.434,17,15
0.435,17,15
0.436,17,15
0.437,17,15
0.438,17,15
0.439,18,16
0.440,19,17
0.441,20,18
0.442,20,18
0.443,21,19
0.444,22,20
0.445,22,20
0.446,22,20
0.447,22,20
0.448,22,20
0.449,22,20
0.450,22,20
0.451,22,20
0.452,22,20
0.453,23,21
0.454,25,23
0.455,26,24
0.456,26,24
0.457,26,24
0.458,26,24
0.459,26,24
0.460,26,24
0.461,26,24
0.462,26,24
0.463,27,25
0.464,28,26
0.465,28,26
0.466,29,27
0.467,29,27
0.468,29,27
0.469,29,27
0.470,30,28
0.471,30,28
0.472,31,29
0.473,31,29
0.474,32,30
0.475,32,30
0.476,32,30
0.477,35,33
0.478,35,33
0.479,36,34
0.480,36,34
0.481,37,35
0.482,39,37
0.483,43,41
0.484,43,41
0.485,43,41
0.486,43,41
0.487,43,41
0.488,43,41
0.489,44,42
0.490,44,42
0.491,46,44
0.492,46,44
0.493,46,44
0.494,46,44
0.495,46,44
0.496,46,44
0.497,47,45
0.498,49,47
0.499,49,47
0.500,49,47
0.501,50,48
0.502,53,51
0.503,55,53
0.504,56,54
0.505,58,56
0.506,59,57
0.507,60,58
0.508,62,60
0.509,63,61
0.510,63,61
0.511,64,62
0.512,65,63
0.513,65,63
0.514,65,63
0.515,65,63
0.516,66,64
0.517,67,65
0.518,67,65
0.519,68,66
0.520,68,66
0.521,68,66
0.522,69,67
0.523,69,67
0.524,69,67
0.525,70,68
0.526,70,68
0.527,70,68
0.528,71,69
0.529,72,70
0.530,72,70
0.531,73,71
0.532,75,73
0.533,75,73
0.534,75,73
0.535,75,73
0.536,75,73
0.537,77,75
0.538,78,76
0.539,78,76
0.540,78,76
0.541,79,77
0.542,79,77
0.543,80,78
0.544,81,79
0.545,81,79
0.546,81,79
0.547,82,80
0.548,82,80
0.549,84,82
0.550,85,83
0.551,85,83
0.552,85,83
0.553,86,84
0.554,86,84
0.555,86,84
0.556,87,85
0.557,88,86
0.558,91,89
0.559,91,89
0.560,92,90
0.561,94,92
0.562,95,93
0.563,95,93
0.564,95,93
0.565,98,95
0.566,98,95
0.567,100,97
0.568,101,98
0.569,101,98
0.570,101,98
0.571,101,98
0.572,101,98
0.573,101,98
0.574,102,99
0.575,102,99
0.576,103,100
0.577,103,100
0.578,103,100
0.579,105,102
0.580,105,102
0.581,105,102
0.582,105,102
0.583,106,103
0.584,106,103
0.585,107,104
0.586,107,104
0.587,108,105
0.588,109,106
0.589,110,107
0.590,110,107
0.591,111,108
0.592,111,108
0.593,112,109
0.594,113,110
0.595,115,112
0.596,115,112
0.597,116,113
0.598,116,113
0.599,118,115
0.600,118,115
0.601,118,115
0.602,118,115
0.603,118,115
0.604,119,116
0.605,119,116
0.606,119,116
0.607,120,117
0.608,120,117
0.609,120,117
0.610,120,117
0.611,120,117
0.612,120,117
0.613,120,117
0.614,121,118
0.615,122,119
0.616,123,120
0.617,123,120
0.618,123,120
0.619,123,120
0.620,123,120
0.621,123,120
0.622,126,123
0.623,127,124
0.624,128,125
0.625,130,127
0.626,131,128
0.627,132,129
0.628,134,131
0.629,134,131
0.630,135,132
0.631,138,135
0.632,140,137
0.633,143,140
0.634,143,140
0.635,143,140
0.636,145,142
0.637,146,143
0.638,146,143
0.639,147,144
0.640,147,144
0.641,147,144
0.642,147,144
0.643,148,145
0.644,149,146
0.645,152,149
0.646,153,150
0.647,153,150
0.648,153,150
0.649,153,150
0.650,154,151
0.651,155,152
0.652,156,153
0.653,156,153
0.654,158,155
0.655,159,156
0.656,161,158
0.657,161,158
0.658,161,158
0.659,161,158
0.660,162,159
0.661,165,162
0.662,167,164
0.663,167,164
0.664,168,165
0.665,168,165
0.666,168,165
0.667,170,167
0.668,170,167
0.669,171,168
0.670,172,169
0.671,173,171
0.672,175,173
0.673,175,173
0.674,177,175
0.675,177,175
0.676,177,175
0.677,178,176
0.678,179,177
0.679,181,179
0.680,182,180
0.681,183,181
0.682,185,183
0.683,186,184
0.684,187,185
0.685,189,187
0.686,189,187
0.687,189,187
0.688,189,187
0.689,189,187
0.690,190,188
0.691,192,189
0.692,192,189
0.693,193,190
0.694,193,190
0.695,194,191
0.696,194,191
0.697,194,191
0.698,194,191
0.699,195,192
0.700,195,192
0.701,195,192
0.702,195,192
0.703,197,193
0.704,198,194
0.705,201,197
0.706,201,197
0.707,201,197
0.708,201,197
0.709,201,197
0.710,201,197
0.711,201,197
0.712,201,197
0.713,201,197
0.714,201,197
0.715,201,197
0.716,201,197
0.717,202,198
0.718,202,198
0.719,202,198
0.720,202,198
0.721,202,198
0.722,202,198
0.723,203,199
0.724,203,199
0.725,203,199
0.726,203,199
0.727,203,199
0.728,203,199
0.729,203,199
0.730,203,199
0.731,203,199
0.732,203,199
0.733,204,200
0.734,204,200
0.735,205,201
0.736,205,201
0.737,205,201
0.738,205,201
0.739,208,204
0.740,209,205
0.741,209,205
0.742,209,205
0.743,209,205
0.744,209,205
0.745,209,205
0.746,209,205
0.747,209,205
0.748,209,205
0.749,209,205
0.750,209,205
0.751,209,205
0.752,211,207
0.753,212,208
0.754,212,208
0.755,212,208
0.756,212,208
0.757,213,209
0.758,215,211
0.759,215,211
0.760,217,213
0.761,217,213
0.762,217,213
0.763,217,213
0.764,217,213
0.765,219,215
0.766,219,215
0.767,219,215
0.768,219,215
0.769,220,216
0.770,222,218
0.771,222,218
0.772,222,218
0.773,223,219
0.774,223,219
0.775,223,219
0.776,223,219
0.777,223,219
0.778,223,219
0.779,223,219
0.780,223,219
0.781,223,219
0.782,223,219
0.783,224,220
0.784,225,221
0.785,226,222
0.786,226,222
0.787,227,223
0.788,227,223
0.789,227,223
0.790,227,223
0.791,228,224
0.792,228,224
0.793,228,224
0.794,228,224
0.795,228,224
0.796,228,224
0.797,228,224
0.798,228,224
0.799,229,225
