thresh,raw,nonzero_filtered
0.000,0,0
0.001,28,28
0.002,31,31
0.003,33,33
0.004,35,35
0.005,36,36
0.006,36,36
0.007,36,36
0.008,38,38
0.009,38,38
0.010,38,38
0.011,38,38
0.012,38,38
0.013,38,38
0.014,39,39
0.015,39,39
0.016,39,39
0.017,39,39
0.018,40,40
0.019,40,40
0.020,40,40
0.021,41,41
0.022,41,41
0.023,42,42
0.024,42,42
0.025,42,42
0.026,42,42
0.027,44,44
0.028,44,44
0.029,44,44
0.030,44,44
0.031,44,44
0.032,46,46
0.033,46,46
0.034,46,46
0.035,46,46
0.036,46,46
0.037,46,46
0.038,46,46
0.039,46,46
0.040,46,46
0.041,47,47
0.042,47,47
0.043,47,47
0.044,48,48
0.045,48,48
0.046,48,48
0.047,48,48
0.048,48,48
0.049,48,48
0.050,48,48
0.051,48,48
0.052,48,48
0.053,48,48
0.054,48,48
0.055,48,48
0.056,48,48
0.057,48,48
0.058,50,50
0.059,50,50
0.060,50,50
0.061,50,50
0.062,50,50
0.063,50,50
0.064,50,50
0.065,50,50
0.066,50,50
0.067,50,50
0.068,51,51
0.069,51,51
0.070,51,51
0.071,51,51
0.072,51,51
0.073,51,51
0.074,52,52
0.075,52,52
0.076,52,52
0.077,53,53
0.078,53,53
0.079,54,54
0.080,54,54
0.081,55,55
0.082,55,55
0.083,55,55
0.084,55,55
0.085,55,55
0.086,55,55
0.087,55,55
0.088,55,55
0.089,56,56
0.090,56,56
0.091,56,56
0.092,56,56
0.093,56,56
0.094,56,56
0.095,58,58
0.096,58,58
0.097,59,59
0.098,60,60
0.099,60,60
0.100,60,60
0.101,60,60
0.102,60,60
0.103,60,60
0.104,60,60
0.105,60,60
0.106,60,60
0.107,60,60
0.108,60,60
0.109,60,60
0.110,61,61
0.111,62,62
0.112,62,62
0.113,62,62
0.114,62,62
0.115,62,62
0.116,62,62
0.117,62,62
0.118,62,62
0.119,62,62
0.120,62,62
0.121,62,62
0.122,62,62
0.123,62,62
0.124,63,63
0.125,63,63
0.126,64,64
0.127,64,64
0.128,64,64
0.129,64,64
0.130,64,64
0.131,65,65
0.132,65,65
0.133,65,65
0.134,65,65
0.135,65,65
0.136,65,65
0.137,65,65
0.138,65,65
0.139,65,65
0.140,65,65
0.141,65,65
0.142,65,65
0.143,66,66
0.144,67,67
0.145,67,67
0.146,67,67
0.147,67,67
0.148,67,67
0.149,67,67
0.150,67,67
0.151,67,67
0.152,67,67
0.153,67,67
0.154,68,68
0.155,69,69
0.156,69,69
0.157,69,69
0.158,69,69
0.159,69,69
0.160,69,69
0.161,69,69
0.162,70,70
0.163,71,71
0.164,71,71
0.165,71,71
0.166,71,71
0.167,72,72
0.168,72,72
0.169,72,72
0.170,73,73
0.171,73,73
0.172,74,74
0.173,75,75
0.174,75,75
0.175,75,75
0.176,75,75
0.177,75,75
0.178,75,75
0.179,75,75
0.180,75,75
0.181,75,75
0.182,75,75
0.183,75,75
0.184,76,76
0.185,76,76
0.186,76,76
0.187,76,76
0.188,77,77
0.189,77,77
0.190,77,77
0.191,77,77
0.192,77,77
0.193,77,77
0.194,77,77
0.195,77,77
0.196,79,79
0.197,79,79
0.198,79,79
0.199,80,80
0.200,81,81
0.201,81,81
0.202,81,81
0.203,82,82
0.204,82,82
0.205,82,82
0.206,82,82
0.207,82,82
0.208,83,83
0.209,83,83
0.210,84,84
0.211,85,85
0.212,85,85
0.213,85,85
0.214,85,85
0.215,85,85
0.216,85,85
0.217,85,85
0.218,87,87
0.219,87,87
0.220,88,88
0.221,88,88
0.222,88,88
0.223,89,89
0.224,89,89
0.225,89,89
0.226,89,89
0.227,91,91
0.228,91,91
0.229,91,91
0.230,91,91
0.231,91,91
0.232,92,92
0.233,95,95
0.234,95,95
0.235,95,95
0.236,96,96
0.237,96,96
0.238,96,96
0.239,97,97
0.240,97,97
0.241,97,97
0.242,98,98
0.243,98,98
0.244,98,98
0.245,99,99
0.246,100,100
0.247,100,100
0.248,101,101
0.249,101,101
0.250,101,101
0.251,102,102
0.252,103,103
0.253,104,104
0.254,105,105
0.255,106,106
0.256,106,106
0.257,107,107
0.258,107,107
0.259,108,108
0.260,108,108
0.261,108,108
0.262,108,108
0.263,108,108
0.264,109,109
0.265,109,109
0.266,110,110
0.267,112,112
0.268,113,113
0.269,114,114
0.270,114,114
0.271,114,114
0.272,114,114
0.273,114,114
0.274,114,114
0.275,114,114
0.276,115,115
0.277,118,118
0.278,118,118
0.279,119,119
0.280,119,119
0.281,120,120
0.282,120,120
0.283,120,120
0.284,120,120
0.285,120,120
0.286,120,120
0.287,121,121
0.288,123,123
0.289,123,123
0.290,123,123
0.291,123,123
0.292,123,123
0.293,123,123
0.294,123,123
0.295,123,123
0.296,123,123
0.297,123,123
0.298,123,123
0.299,124,124
0.300,125,125
0.301,126,126
