Sender,Receiver,score,Ligand,Receptor
Bcell,Bcell,0.001098153514028806,ADAM12,ITGB1
Endothelial,Bcell,5.408038941999128e-08,ADAM12,ITGB1
Macrophage,Bcell,2.6983378349598087e-05,ADAM12,ITGB1
Malignant,Bcell,5.139086012758992e-07,ADAM12,ITGB1
Stroma,Bcell,6.276294314692009e-06,ADAM12,ITGB1
Tcell,Bcell,1.8922781451387803e-06,ADAM12,ITGB1
Bcell,Endothelial,3.246949360976088e-06,ADAM12,ITGB1
Endothelial,Endothelial,0.00048246015100127327,ADAM12,ITGB1
Macrophage,Endothelial,1.653716166922556e-05,ADAM12,ITGB1
Malignant,Endothelial,2.127371725600855e-06,ADAM12,ITGB1
Stroma,Endothelial,5.114867627613834e-06,ADAM12,ITGB1
Tcell,Endothelial,3.378277464895573e-05,ADAM12,ITGB1
Bcell,Macrophage,6.566123771507503e-06,ADAM12,ITGB1
Endothelial,Macrophage,1.626338061850308e-05,ADAM12,ITGB1
Macrophage,Macrophage,0.00037523962570718634,ADAM12,ITGB1
Malignant,Macrophage,1.902872660870976e-06,ADAM12,ITGB1
Stroma,Macrophage,4.272419493951823e-06,ADAM12,ITGB1
Tcell,Macrophage,1.45214770906087e-05,ADAM12,ITGB1
Bcell,Malignant,5.647770182985579e-07,ADAM12,ITGB1
Endothelial,Malignant,2.009294683754222e-06,ADAM12,ITGB1
Macrophage,Malignant,3.0994977520287153e-06,ADAM12,ITGB1
Malignant,Malignant,3.203597817720722e-05,ADAM12,ITGB1
Stroma,Malignant,3.7545189628458032e-06,ADAM12,ITGB1
Tcell,Malignant,6.584640760557621e-06,ADAM12,ITGB1
Bcell,Stroma,1.3270308372451628e-05,ADAM12,ITGB1
Endothelial,Stroma,3.3376032576777105e-05,ADAM12,ITGB1
Macrophage,Stroma,1.0393185905170578e-05,ADAM12,ITGB1
Malignant,Stroma,5.495558838644796e-06,ADAM12,ITGB1
Stroma,Stroma,0.0002483783398467429,ADAM12,ITGB1
Tcell,Stroma,9.947782499654753e-06,ADAM12,ITGB1
Bcell,Tcell,5.596896284537764e-06,ADAM12,ITGB1
Endothelial,Tcell,6.03909487864476e-07,ADAM12,ITGB1
Macrophage,Tcell,1.625512531536861e-05,ADAM12,ITGB1
