Sender,Receiver,Ligand,Receptor,LRscore
Bcell,Endothelial,TGFB1,ACVRL1,1.1483645261978996e-5
Bcell,Endothelial,TGFB1,CAV1,2.4862977501385005e-5
Bcell,Endothelial,TGFB1,ENG,1.404017251714284e-5
Bcell,Endothelial,TGFB1,TGFBR1,2.414042328415104e-5
Bcell,Endothelial,TGFB1,TGFBR2,2.4089237825086216e-5
Bcell,Macrophage,BTLA,CD79A,0
Bcell,Macrophage,BTLA,TNFRSF14,0
Bcell,Macrophage,CADM1,CADM1,2.118168189513076e-6
Bcell,Macrophage,CD1D,LILRB2,0
Bcell,Macrophage,CD22,PTPRC,8.649128282292988e-6
Bcell,Macrophage,CD38,PECAM1,0
Bcell,Macrophage,CD48,CD2,0
Bcell,Macrophage,CLEC2D,KLRB1,0
Bcell,Macrophage,CRTAM,CADM1,0
Bcell,Macrophage,CX3CL1,ITGAV,5.541733841159912e-7
Bcell,Macrophage,EBI3,IL27RA,7.046186431150753e-8
Bcell,Macrophage,EBI3,IL6ST,1.4189401608228869e-6
Bcell,Macrophage,EPHA4,EFNB1,2.7686214204821563e-5
Bcell,Macrophage,FCER2,ITGAM,0
Bcell,Macrophage,FCER2,ITGAV,0
Bcell,Macrophage,FCER2,ITGB2,0
Bcell,Macrophage,FGF7,FGFR1,0
Bcell,Macrophage,FGF7,NRP1,8.61611374260199e-8
Bcell,Macrophage,HGF,CD44,1.200930861792918e-7
Bcell,Macrophage,HGF,SDC1,1.3235593629083565e-7
Bcell,Macrophage,HGF,SDC2,0
Bcell,Macrophage,HLA-DOA,CD4,7.495016980262058e-6
Bcell,Macrophage,HLA-DOB,CD4,0
Bcell,Macrophage,ICAM2,ITGAL,8.790074026452556e-6
Bcell,Macrophage,ICAM2,ITGAM,8.914489865785977e-7
Bcell,Macrophage,ICAM2,ITGB2,2.923881699080604e-6
Bcell,Macrophage,ICAM3,CD209,6.262673575766965e-8
Bcell,Macrophage,ICAM3,ITGAL,5.68564537874978e-6
Bcell,Macrophage,ICAM3,ITGB2,4.205074601464362e-6
Bcell,Macrophage,IGF1,INSR,8.728706873588208e-7
Bcell,Macrophage,IGF1,ITGA6,2.1392738661296858e-10
Bcell,Macrophage,IGF1,ITGAV,3.713285597184692e-6
Bcell,Macrophage,IGF1,ITGB4,2.1111620326921904e-6
Bcell,Macrophage,IL16,CD4,1.949079021854873e-7
Bcell,Macrophage,IL34,CSF1R,0
Bcell,Macrophage,ITGA4,VCAM1,3.0795078940104455e-8
Bcell,Macrophage,ITGAL,ICAM1,2.148676220642151e-5
