Sender,Receiver,Ligand,Receptor,LRscore
Stroma,Tcell,ADAM12,ITGB1,0
Endothelial,Malignant,ADAM17,ITGA5,0
Endothelial,Stroma,ADAM17,ITGA5,0
Endothelial,Malignant,ADAM17,ITGB1,0
Endothelial,Stroma,ADAM17,ITGB1,0
Endothelial,Malignant,ADAM17,NOTCH1,3.558920804037517e-4
Endothelial,Stroma,ADAM17,NOTCH1,1.8422628409004544e-4
Malignant,Stroma,ADAM17,NOTCH1,1.0511300746988702e-4
Stroma,Tcell,ANGPT2,ITGA5,0
Stroma,Tcell,ANGPT2,ITGB1,0
Endothelial,Malignant,ANGPTL2,ITGA5,0
Endothelial,Stroma,ANGPTL2,ITGA5,0
Endothelial,Malignant,ANGPTL2,ITGB1,0
Endothelial,Stroma,ANGPTL2,ITGB1,0
Macrophage,Endothelial,ANGPTL2,ITGA5,0
Macrophage,Endothelial,ANGPTL2,TLR4,0
Stroma,Tcell,ANGPTL2,ITGA5,0
Stroma,Tcell,ANGPTL2,ITGB1,0
Stroma,Tcell,ANGPTL2,LILRB2,0
Stroma,Tcell,ANGPTL2,LILRB3,0
Macrophage,Endothelial,ANGPTL4,ITGA5,0
Macrophage,Malignant,ANGPTL4,SDC2,0
Stroma,Tcell,ANGPTL4,ITGA5,0
Stroma,Tcell,ANGPTL4,ITGAV,0
Stroma,Tcell,ANGPTL4,ITGB1,0
Stroma,Tcell,ANGPTL4,SDC1,0
Malignant,Stroma,APP,NCSTN,0
Stroma,Tcell,BGN,LY96,0
Stroma,Tcell,BGN,TLR2,0
Stroma,Tcell,BMP8A,TGFBR1,0
Stroma,Tcell,BMP8A,TGFBR2,0
Bcell,Tcell,BTLA,CD247,0
Bcell,Macrophage,BTLA,CD79A,0
Bcell,Stroma,BTLA,CD79A,0
Bcell,Macrophage,BTLA,TNFRSF14,0
Bcell,Malignant,BTLA,TNFRSF14,0
Bcell,Stroma,BTLA,TNFRSF14,0
Bcell,Tcell,BTLA,TNFRSF14,0
Macrophage,Endothelial,C3,CD81,0
Macrophage,Endothelial,C3,IFITM1,0
Stroma,Tcell,C3,CD81,0
Stroma,Tcell,C3,IFITM1,0
Stroma,Tcell,C3,ITGAM,0
Stroma,Tcell,C3,ITGB2,0
Stroma,Tcell,C3,NRP1,0
Tcell,Malignant,C3,CD81,0
Tcell,Stroma,C3,CD81,0
Tcell,Malignant,C3,IFITM1,0
Tcell,Stroma,C3,IFITM1,0
Tcell,Stroma,C3,ITGB2,0
Tcell,Macrophage,C3,NRP1,0
Tcell,Stroma,C3,NRP1,0
Bcell,Macrophage,CADM1,CADM1,0
Bcell,Malignant,CADM1,CADM1,0
Bcell,Stroma,CADM1,CADM1,0
Bcell,Tcell,CADM1,CRTAM,0
Bcell,Macrophage,CD1D,LILRB2,0
Bcell,Malignant,CD226,PVR,0
Bcell,Stroma,CD226,PVR,0
Tcell,Stroma,CD226,PVR,0
Bcell,Macrophage,CD22,PTPRC,0
Bcell,Malignant,CD22,PTPRC,0
Bcell,Macrophage,CD38,PECAM1,0
Bcell,Malignant,CD38,PECAM1,0
Tcell,Stroma,CD40LG,CD40,0
Tcell,Malignant,CD40LG,ITGA5,0
Tcell,Stroma,CD40LG,ITGA5,0
