Sender,Receiver,Ligand,Receptor,LRscore,all
Stroma,Bcell,COL1A1,CD74,34.077179377043954,Stroma_COL1A1_Bcell_CD74
Stroma,Endothelial,COL1A1,CD74,32.001792297302345,Stroma_COL1A1_Endothelial_CD74
Stroma,Macrophage,COL1A1,CD74,36.81294194712112,Stroma_COL1A1_Macrophage_CD74
Stroma,Malignant,COL1A1,CD74,37.61508425709736,Stroma_COL1A1_Malignant_CD74
Stroma,Tcell,COL1A1,CD74,35.51528394448166,Stroma_COL1A1_Tcell_CD74
Stroma,Bcell,COL6A3,CD74,15.333679429819307,Stroma_COL6A3_Bcell_CD74
Stroma,Endothelial,COL6A3,CD74,14.84954581471436,Stroma_COL6A3_Endothelial_CD74
Stroma,Macrophage,COL6A3,CD74,20.472434929183002,Stroma_COL6A3_Macrophage_CD74
Stroma,Malignant,COL6A3,CD74,21.786641835485362,Stroma_COL6A3_Malignant_CD74
Stroma,Tcell,COL6A3,CD74,18.778716153928542,Stroma_COL6A3_Tcell_CD74
Stroma,Malignant,COL1A1,CD151,36.11495052662121,Stroma_COL1A1_Malignant_CD151
Stroma,Macrophage,COL1A1,CD81,30.065618802558568,Stroma_COL1A1_Macrophage_CD81
Stroma,Malignant,COL1A1,CD81,30.55534688698458,Stroma_COL1A1_Malignant_CD81
Stroma,Malignant,COL1A1,CD63,35.48892505016184,Stroma_COL1A1_Malignant_CD63
Stroma,Malignant,COL6A3,CD63,20.635103380517524,Stroma_COL6A3_Malignant_CD63
Stroma,Macrophage,COL6A3,CD81,17.237757630430963,Stroma_COL6A3_Macrophage_CD81
Stroma,Malignant,COL6A3,CD81,17.940084011157143,Stroma_COL6A3_Malignant_CD81
Macrophage,Endothelial,C3,CD81,11.499288267330968,Macrophage_C3_Endothelial_CD81
Stroma,Tcell,C3,CD81,12.993750399628713,Stroma_C3_Tcell_CD81
Tcell,Malignant,C3,CD81,13.993925163173977,Tcell_C3_Malignant_CD81
Tcell,Stroma,C3,CD81,13.929134851985886,Tcell_C3_Stroma_CD81
Stroma,Tcell,COL3A1,ITGB1,17.497592315783685,Stroma_COL3A1_Tcell_ITGB1
Stroma,Tcell,FN1,ITGB1,19.743629502708966,Stroma_FN1_Tcell_ITGB1
Stroma,Malignant,COL1A1,ITGB1,24.156049721983873,Stroma_COL1A1_Malignant_ITGB1
Stroma,Tcell,COL1A1,ITGB1,20.92054801655168,Stroma_COL1A1_Tcell_ITGB1
Stroma,Tcell,COL1A2,ITGB1,21.483606672474576,Stroma_COL1A2_Tcell_ITGB1
Stroma,Malignant,COL6A3,CD151,20.79221424372825,Stroma_COL6A3_Malignant_CD151
Stroma,Tcell,COL6A2,ITGB1,16.064049427407856,Stroma_COL6A2_Tcell_ITGB1
Endothelial,Malignant,HSPG2,ITGB1,13.393976796145116,Endothelial_HSPG2_Malignant_ITGB1
Endothelial,Stroma,HSPG2,ITGB1,8.305314724824441,Endothelial_HSPG2_Stroma_ITGB1
Stroma,Tcell,HSPG2,ITGB1,10.4755892274599,Stroma_HSPG2_Tcell_ITGB1
Stroma,Malignant,COL1A1,ENO1,29.44038528841428,Stroma_COL1A1_Malignant_ENO1
Stroma,Tcell,LGALS1,ITGB1,15.408373701529325,Stroma_LGALS1_Tcell_ITGB1
Macrophage,Bcell,GAS6,CD74,7.494001457740168,Macrophage_GAS6_Bcell_CD74
Macrophage,Endothelial,GAS6,CD74,8.081321435303128,Macrophage_GAS6_Endothelial_CD74
Macrophage,Malignant,GAS6,CD74,7.909059931218905,Macrophage_GAS6_Malignant_CD74
Macrophage,Tcell,GAS6,CD74,8.504419841555732,Macrophage_GAS6_Tcell_CD74
Stroma,Tcell,COL6A1,ITGB1,14.741800828113734,Stroma_COL6A1_Tcell_ITGB1
Stroma,Tcell,VCAN,ITGB1,7.924477584968245,Stroma_VCAN_Tcell_ITGB1
Stroma,Tcell,COL18A1,ITGB1,11.9974793964176,Stroma_COL18A1_Tcell_ITGB1
Stroma,Malignant,COL6A3,ENO1,17.31665790078921,Stroma_COL6A3_Malignant_ENO1
Macrophage,Malignant,GAS6,CD63,7.5912809281954905,Macrophage_GAS6_Malignant_CD63
Stroma,Malignant,COL6A3,ITGB1,14.25676450184977,Stroma_COL6A3_Malignant_ITGB1
Stroma,Tcell,COL6A3,ITGB1,11.787047480460021,Stroma_COL6A3_Tcell_ITGB1
Stroma,Tcell,COL5A1,ITGB1,10.241791126195631,Stroma_COL5A1_Tcell_ITGB1
Stroma,Tcell,THBS2,ITGB1,8.451643822452816,Stroma_THBS2_Tcell_ITGB1
Macrophage,Malignant,GAS6,CD81,6.38230629318661,Macrophage_GAS6_Malignant_CD81
Macrophage,Stroma,GAS6,CD81,5.971158242885713,Macrophage_GAS6_Stroma_CD81
Macrophage,Malignant,GAS6,ITGB1,5.198492431665679,Macrophage_GAS6_Malignant_ITGB1
Macrophage,Malignant,GAS6,CD151,8.013721289340396,Macrophage_GAS6_Malignant_CD151
Stroma,Tcell,COL5A2,ITGB1,10.843881244655638,Stroma_COL5A2_Tcell_ITGB1
Stroma,Tcell,THBS1,ITGB1,10.584702575598918,Stroma_THBS1_Tcell_ITGB1
Stroma,Malignant,COL1A1,APP,25.044958097125875,Stroma_COL1A1_Malignant_APP
Macrophage,Malignant,GAS6,ENO1,6.174081422361194,Macrophage_GAS6_Malignant_ENO1
Stroma,Malignant,COL1A1,CD9,28.671191035388734,Stroma_COL1A1_Malignant_CD9
Stroma,Bcell,COL4A1,CD74,13.672959142046055,Stroma_COL4A1_Bcell_CD74
Stroma,Endothelial,COL4A1,CD74,10.501989042389416,Stroma_COL4A1_Endothelial_CD74
Stroma,Macrophage,COL4A1,CD74,13.744637639194213,Stroma_COL4A1_Macrophage_CD74
Stroma,Malignant,COL4A1,CD74,15.346790817952892,Stroma_COL4A1_Malignant_CD74
Stroma,Tcell,COL4A1,CD74,13.40702687158717,Stroma_COL4A1_Tcell_CD74
Stroma,Malignant,COL6A3,APP,14.578188664015434,Stroma_COL6A3_Malignant_APP
Stroma,Malignant,COL1A1,PLXNB2,28.50152925961141,Stroma_COL1A1_Malignant_PLXNB2
Stroma,Bcell,THY1,CD74,13.355570786964984,Stroma_THY1_Bcell_CD74
Stroma,Endothelial,THY1,CD74,11.69936143626098,Stroma_THY1_Endothelial_CD74
Stroma,Macrophage,THY1,CD74,15.006000585650575,Stroma_THY1_Macrophage_CD74
Stroma,Malignant,THY1,CD74,17.49038421095859,Stroma_THY1_Malignant_CD74
Stroma,Tcell,THY1,CD74,12.337755575338393,Stroma_THY1_Tcell_CD74
Stroma,Malignant,COL6A3,CD9,16.737096213808375,Stroma_COL6A3_Malignant_CD9
Stroma,Malignant,THY1,CD63,16.437257442036994,Stroma_THY1_Malignant_CD63
Stroma,Malignant,COL4A1,CD151,14.681586539998614,Stroma_COL4A1_Malignant_CD151
Stroma,Macrophage,COL4A1,CD81,11.598371480041882,Stroma_COL4A1_Macrophage_CD81
Stroma,Malignant,COL4A1,CD81,12.683903717252285,Stroma_COL4A1_Malignant_CD81
Stroma,Macrophage,THY1,CD81,12.765258607024066,Stroma_THY1_Macrophage_CD81
Stroma,Malignant,THY1,CD81,14.317280748175019,Stroma_THY1_Malignant_CD81
Stroma,Tcell,TIMP2,ITGB1,10.590184382087768,Stroma_TIMP2_Tcell_ITGB1
Malignant,Bcell,MDK,CD74,9.48159013744885,Malignant_MDK_Bcell_CD74
Malignant,Endothelial,MDK,CD74,12.48016853399689,Malignant_MDK_Endothelial_CD74
Malignant,Macrophage,MDK,CD74,13.342947212376131,Malignant_MDK_Macrophage_CD74
Malignant,Tcell,MDK,CD74,14.462475410129857,Malignant_MDK_Tcell_CD74
Macrophage,Bcell,SERPING1,CD74,12.908860604149366,Macrophage_SERPING1_Bcell_CD74
Macrophage,Endothelial,SERPING1,CD74,12.238620748110899,Macrophage_SERPING1_Endothelial_CD74
Macrophage,Malignant,SERPING1,CD74,12.650223735430764,Macrophage_SERPING1_Malignant_CD74
Macrophage,Tcell,SERPING1,CD74,12.632943140061789,Macrophage_SERPING1_Tcell_CD74
Stroma,Malignant,COL1A1,CD99,26.015490360555095,Stroma_COL1A1_Malignant_CD99
Stroma,Malignant,COL4A1,CD63,14.469336454435972,Stroma_COL4A1_Malignant_CD63
Macrophage,Malignant,GAS6,APP,5.281383680251136,Macrophage_GAS6_Malignant_APP
Malignant,Macrophage,MDK,CD81,11.148422389095694,Malignant_MDK_Macrophage_CD81
Malignant,Stroma,MDK,CD81,11.97649846531184,Malignant_MDK_Stroma_CD81
Macrophage,Malignant,SERPING1,CD63,12.164762538922076,Macrophage_SERPING1_Malignant_CD63
Macrophage,Malignant,SERPING1,CD81,10.259191084152267,Macrophage_SERPING1_Malignant_CD81
