ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
COL1A1__Stroma,CD74__Malignant,COL1A1__Stroma|CD74__Malignant,25.76682836987357,6.721137322677279,410.08506719435576,50064.94752266434,37.13143390752041,5.237722766420791,15.490595249308564
COL1A1__Stroma,CD74__Macrophage,COL1A1__Stroma|CD74__Macrophage,17.476511065768175,0,353.4477473131448,33956.86100078757,51.57307694307675,5.237722766420791,9.72582635166531
COL1A1__Stroma,BAMBI__Malignant,COL1A1__Stroma|BAMBI__Malignant,11.997129026316461,2.1594712469007797,129.69012468281258,23310.421698132886,17.955254226720985,5.237722766420791,8.88075762492193
COL1A1__Stroma,CD63__Malignant,COL1A1__Stroma|CD63__Malignant,10.871954833668104,5.8362379674385645,87.69208022819824,21124.208241817127,14.068682934256342,5.237722766420791,6.629101709661513
COL1A1__Stroma,CD81__Malignant,COL1A1__Stroma|CD81__Malignant,10.244606349728137,5.532785355372791,86.22766146557909,19905.27013752177,13.017827110822605,5.237722766420791,6.300005025529065
MDK__Malignant,CD74__Macrophage,MDK__Malignant|CD74__Macrophage,8.761730703350622,0,264.28454306251416,17024.04275661026,27.14062890120009,2.4788277005539365,9.72582635166531
COL1A1__Stroma,CD9__Malignant,COL1A1__Stroma|CD9__Malignant,8.365550710759639,4.485353408916738,65.50590532163586,16254.265031005976,10.317127019973535,5.237722766420791,5.406350750027007
COL1A1__Stroma,ENO1__Malignant,COL1A1__Stroma|ENO1__Malignant,6.512583553002843,1.6937049542898905,76.33798655648454,12653.949843484525,10.245447296354731,5.237722766420791,3.7224766847350357
COL1A1__Stroma,GFRA1__Malignant,COL1A1__Stroma|GFRA1__Malignant,5.7017732332917825,0,67.90323277278561,11078.545392285932,10.601713519813067,5.237722766420791,3.031979008876576
COL1A1__Stroma,CD151__Malignant,COL1A1__Stroma|CD151__Malignant,5.604229523898467,1.3105223623718407,43.16374025502078,10889.017964934721,8.09117957491829,5.237722766420791,3.3087370689838584
COL1A1__Stroma,IL6ST__Malignant,COL1A1__Stroma|IL6ST__Malignant,4.148185279012646,0,38.49823419390416,8059.92399712157,5.4491605867321,5.237722766420791,3.0822598068550318
COL1A1__Stroma,ERBB2__Malignant,COL1A1__Stroma|ERBB2__Malignant,4.089240843522193,1.269021302960951,36.05735759555412,7945.394958963621,5.325933943493547,5.237722766420791,2.6920046126759245
COL1A1__Stroma,CDH1__Malignant,COL1A1__Stroma|CDH1__Malignant,3.941460940436012,0.7849976319075788,40.558356719800734,7658.258607267171,5.340753710754366,5.237722766420791,2.6343324248695374
COL1A1__Stroma,SDC4__Malignant,COL1A1__Stroma|SDC4__Malignant,3.8653630537706194,1.1021122478340706,30.545575951242526,7510.400413476314,5.02110367862191,5.237722766420791,2.5159964237727026
COL1A1__Stroma,SDC1__Malignant,COL1A1__Stroma|SDC1__Malignant,3.748765988781826,0,54.817643578928184,7283.852316203088,6.151660225649046,5.237722766420791,2.138768692077997
COL6A3__Stroma,CD74__Malignant,COL6A3__Stroma|CD74__Malignant,3.6471836151009187,0.9825912337978073,60.14511646587689,7086.477764141085,5.191232589938291,0.7635988755172406,15.490595249308564
COL1A1__Stroma,LAMP1__Malignant,COL1A1__Stroma|LAMP1__Malignant,3.380057937911738,0.9494226603622542,34.93991095930134,6567.452573362506,4.552017141367315,5.237722766420791,2.1836714469895835
COL9A2__Malignant,CD74__Macrophage,COL9A2__Malignant|CD74__Macrophage,3.369340042439546,0,86.48395530998899,6546.627702460038,10.075915598734275,0.978525938559893,9.72582635166531
COL1A1__Stroma,FLOT1__Malignant,COL1A1__Stroma|FLOT1__Malignant,3.136116730204927,0.8604960331173305,26.424994205814148,6093.474806788173,4.095957885352172,5.237722766420791,2.0956379384472172
COL1A1__Stroma,PLXNB2__Malignant,COL1A1__Stroma|PLXNB2__Malignant,3.10196749399494,0,34.35885716186765,6027.122840832169,4.506261421982386,5.237722766420791,1.9270096496730231
SERPING1__Macrophage,CD74__Malignant,SERPING1__Macrophage|CD74__Malignant,2.974081745964598,0.6933526688761776,47.50168874568166,5778.6408324092145,4.728446467135648,0.51007968409777,15.490595249308564
COL1A1__Stroma,CD99__Malignant,COL1A1__Stroma|CD99__Malignant,2.8126761967888347,0,40.43265809202475,5465.0298503607055,4.339114715322874,5.237722766420791,1.6885594579570298
COL1A1__Stroma,TYROBP__Macrophage,COL1A1__Stroma|TYROBP__Macrophage,2.614795224671768,0,71.21124448195258,5080.547121537245,7.743697666279573,5.237722766420791,1.481490261432842
COL1A1__Stroma,CD55__Malignant,COL1A1__Stroma|CD55__Malignant,2.5830965216156607,0,27.95932625361081,5018.9565414992285,3.7283720166106535,5.237722766420791,1.6377735679933618
COL1A1__Stroma,PTPRF__Malignant,COL1A1__Stroma|PTPRF__Malignant,2.5556534711428087,0,33.723531003468445,4965.634694430477,3.987642264696222,5.237722766420791,1.546105650020893
COL1A1__Stroma,ATP6AP2__Malignant,COL1A1__Stroma|ATP6AP2__Malignant,2.5504470821472176,0,18.195376386224552,4955.518680612044,3.444967739003334,5.237722766420791,1.7326990345240978
COL1A1__Stroma,ERBB3__Malignant,COL1A1__Stroma|ERBB3__Malignant,2.5446326982227854,0,23.63687699368941,4944.221332646872,3.792830515017338,5.237722766420791,1.5674687034496217
COL6A3__Stroma,CD74__Macrophage,COL6A3__Stroma|CD74__Macrophage,2.511714225787039,0,53.95707315909551,4880.260740704216,7.381068238087084,0.7635988755172406,9.72582635166531
COL1A1__Stroma,DAG1__Malignant,COL1A1__Stroma|DAG1__Malignant,2.4404177737774493,0,28.188188214325034,4741.731734449584,3.3967290487132478,5.237722766420791,1.5639052434775542
COL1A1__Stroma,APLP2__Malignant,COL1A1__Stroma|APLP2__Malignant,2.374289494320345,0,19.885855026286965,4613.244487464431,3.3720632408871904,5.237722766420791,1.504709795908961
THY1__Stroma,CD74__Malignant,THY1__Stroma|CD74__Malignant,2.2785520001124238,0.6797895446435054,34.65628266976587,4427.22653621844,3.1961396594867733,0.45897216136018176,15.490595249308564
COL1A1__Stroma,ITGB1__Malignant,COL1A1__Stroma|ITGB1__Malignant,2.2568780229103376,0,25.156379808691785,4385.113998514786,3.1114099160177395,5.237722766420791,1.4501081159741187
COL1A1__Stroma,APP__Malignant,COL1A1__Stroma|APP__Malignant,2.184162515393247,0,28.292556930023387,4243.827767409079,3.2359245463675093,5.237722766420791,1.4289138225487616
MMP9__Stroma,CD74__Malignant,MMP9__Stroma|CD74__Malignant,2.0214247064763717,0.6559436884912346,28.7538131742766,3927.6282046835904,2.940396738067818,0.41756978849036436,15.490595249308564
COL1A1__Stroma,RAMP1__Malignant,COL1A1__Stroma|RAMP1__Malignant,1.9574457943803507,0,21.762099689254374,3803.317178481021,3.2649708678137577,5.237722766420791,1.2193225078028083
COL1A1__Stroma,CD74__Endothelial,COL1A1__Stroma|CD74__Endothelial,1.9465273877923666,0,140.58548856246685,3782.1027144805685,10.08098352872093,5.237722766420791,1.3838703192911708
COL1A1__Stroma,CD81__Macrophage,COL1A1__Stroma|CD81__Macrophage,1.9456512736434637,0,47.04746464758918,3780.40042468925,5.981640572431648,5.237722766420791,1.0784718234125414
COL1A1__Stroma,AMFR__Malignant,COL1A1__Stroma|AMFR__Malignant,1.9232195508126912,0,18.227207307148447,3736.8155872290595,2.852813934903337,5.237722766420791,1.3603338857474554
COL1A1__Stroma,CD74__Bcell,COL1A1__Stroma|CD74__Bcell,1.7320780895355423,0,141.19673447497868,3365.427727967559,10.598231485950606,5.237722766420791,1.2132883299562962
COL6A3__Stroma,BAMBI__Malignant,COL6A3__Stroma|BAMBI__Malignant,1.7314787070906537,0.30058024244003295,18.417379371373674,3364.26312787714,2.589600269054691,0.7635988755172406,8.88075762492193
COL4A1__Stroma,CD74__Malignant,COL4A1__Stroma|CD74__Malignant,1.6475122029340228,0.5101422783657599,24.67837032614235,3201.1162103008064,2.318023151576498,0.32799611785313787,15.490595249308564
THY1__Stroma,CD74__Macrophage,THY1__Stroma|CD74__Macrophage,1.629091915328775,0,31.44619713306542,3165.3255914838096,4.759253823968712,0.45897216136018176,9.72582635166531
COL4A2__Stroma,CD74__Malignant,COL4A2__Stroma|CD74__Malignant,1.5720265224922914,0.4833760428045617,24.294143568222992,3054.4475332025218,2.2158172867791337,0.3113495933476895,15.490595249308564
COL6A3__Stroma,CD63__Malignant,COL6A3__Stroma|CD63__Malignant,1.5401851349427242,0.8521792589820983,11.223508043653244,2992.579717193713,1.9539814153441772,0.7635988755172406,6.629101709661513
SEMA3C__Malignant,CD74__Macrophage,SEMA3C__Malignant|CD74__Macrophage,1.5101464696861193,0,35.449801082747385,2934.21459060013,4.377477058823072,0.5410702603549594,9.72582635166531
COL1A1__Stroma,PRLR__Malignant,COL1A1__Stroma|PRLR__Malignant,1.4647947856680985,0,18.677201668480198,2846.0962685531154,2.3077460811218287,5.237722766420791,1.0867500600279012
COL6A3__Stroma,CD81__Malignant,COL6A3__Stroma|CD81__Malignant,1.4519468943816563,0.8158495120414931,11.036080447925533,2821.1328157835583,1.8083528360012742,0.7635988755172406,6.300005025529065
SERPING1__Macrophage,BAMBI__Malignant,SERPING1__Macrophage|BAMBI__Malignant,1.4291082249856428,0.1951252429806025,17.499214998705984,2776.7572811471036,2.245080624109003,0.51007968409777,8.88075762492193
VWF__Endothelial,CD74__Malignant,VWF__Endothelial|CD74__Malignant,1.4220994863135703,0.48085604094461293,12.998799155460468,2763.139301907267,1.9584921915824882,0.31127046622292953,15.490595249308564
COL1A1__Stroma,CD44__Malignant,COL1A1__Stroma|CD44__Malignant,1.3634755664625366,0,13.321623585616392,2649.2330256367086,2.2300178300719624,5.237722766420791,0.9919777787887728
COL1A1__Stroma,ALCAM__Malignant,COL1A1__Stroma|ALCAM__Malignant,1.3472481389092763,0,18.77467915241047,2617.7031339007235,2.2983062449744645,5.237722766420791,0.9551546679616035
MDK__Malignant,TYROBP__Macrophage,MDK__Malignant|TYROBP__Macrophage,1.3092993109141802,0,45.58797212762695,2543.9685611062523,3.9955088833627754,2.4788277005539365,1.481490261432842
MMP9__Stroma,BAMBI__Malignant,MMP9__Stroma|BAMBI__Malignant,1.280613262687512,0.14224006348503523,41.47181804995959,2488.2315694018357,2.8763391546286416,0.41756978849036436,8.88075762492193
LGALS9__Macrophage,CD74__Malignant,LGALS9__Macrophage|CD74__Malignant,1.2705008323666978,0.29219627939433085,20.159466869933297,2468.5831172884937,2.0310471255905465,0.21626567559697818,15.490595249308564
MMP9__Stroma,CD74__Macrophage,MMP9__Stroma|CD74__Macrophage,1.2084649496517406,0,24.380060118457045,2348.047397173332,3.455665038880815,0.41756978849036436,9.72582635166531
COL6A3__Stroma,CD9__Malignant,COL6A3__Stroma|CD9__Malignant,1.1905690764686827,0.6535506910634246,9.281004339918118,2313.2757155786508,1.4503500753096017,0.7635988755172406,5.406350750027007
SERPING1__Macrophage,CD63__Malignant,SERPING1__Macrophage|CD63__Malignant,1.1713105949370208,0.6484479468815955,9.61157336088424,2275.8564859626313,1.4841805631017102,0.51007968409777,6.629101709661513
COL1A1__Stroma,NPTN__Malignant,COL1A1__Stroma|NPTN__Malignant,1.1511970155055289,0,15.295390959015165,2236.7758011272426,1.9130856641357594,5.237722766420791,0.7683042186134074
THY1__Stroma,BAMBI__Malignant,THY1__Stroma|BAMBI__Malignant,1.1506031440989077,0.18171389189966652,13.087246280524067,2235.621908984178,1.7942847278458192,0.45897216136018176,8.88075762492193
COL4A1__Stroma,CD74__Macrophage,COL4A1__Stroma|CD74__Macrophage,1.141305506328883,0,22.25220997734394,2217.55659879702,3.3345709404781108,0.32799611785313787,9.72582635166531
SERPING1__Macrophage,CD81__Malignant,SERPING1__Macrophage|CD81__Malignant,1.1309549380238404,0.5828225574262265,10.54867143559148,2197.445444580322,1.459985166075593,0.51007968409777,6.300005025529065
VWF__Endothelial,CD74__Macrophage,VWF__Endothelial|CD74__Macrophage,1.1267263043352869,0,24.839120862544746,2189.2292093234623,3.1940853812399403,0.31127046622292953,9.72582635166531
COL4A2__Stroma,CD74__Macrophage,COL4A2__Stroma|CD74__Macrophage,1.1206007118944696,0,23.43284127400535,2177.3271832109544,3.3177304788964017,0.3113495933476895,9.72582635166531
COL1A1__Stroma,CD74__Tcell,COL1A1__Stroma|CD74__Tcell,1.0794263187547009,0,209.037701143108,2097.3253373403836,8.223474676189676,5.237722766420791,0.7355650099637262
MDK__Malignant,CD74__Endothelial,MDK__Malignant|CD74__Endothelial,1.0030056813841743,0,85.13300154295095,1948.8400389294507,5.381740079147135,2.4788277005539365,1.3838703192911708
MDK__Malignant,CD81__Macrophage,MDK__Malignant|CD81__Macrophage,0.9695278785677379,0,32.80045888170917,1883.7926680571147,3.0750965213405768,2.4788277005539365,1.0784718234125414
THY1__Stroma,CD63__Malignant,THY1__Stroma|CD63__Malignant,0.9538632681168185,0.597915307312787,6.309297508876702,1853.3563299509783,1.1566498466163009,0.45897216136018176,6.629101709661513
CXCL12__Macrophage,CD74__Malignant,CXCL12__Macrophage|CD74__Malignant,0.9486775922039086,0.23887755462698967,14.798907193511296,1843.2805616521944,1.4518098737076046,0.1685874206065707,15.490595249308564
MDK__Malignant,CD81__Stroma,MDK__Malignant|CD81__Stroma,0.9435513969164399,0,22.439087479048457,1833.3203642086426,2.5785193595757807,2.4788277005539365,1.1506572560566608
SERPING1__Macrophage,CD9__Malignant,SERPING1__Macrophage|CD9__Malignant,0.9295482846139221,0.49029320014614425,7.45681612785846,1806.1123170048509,1.1730618996592699,0.51007968409777,5.406350750027007
COL6A3__Stroma,ENO1__Malignant,COL6A3__Stroma|ENO1__Malignant,0.9204035902847442,0.26119787687547313,10.846197596914426,1788.3441759232578,1.4271231177976036,0.7635988755172406,3.7224766847350357
