thresh,raw,nonzero_filtered
0.000,0,0
0.000,0,0
0.001,0,0
0.002,0,0
0.002,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.004,0,0
0.005,0,0
0.005,0,0
0.006,0,0
0.006,0,0
0.007,0,0
0.007,0,0
0.008,0,0
0.008,0,0
0.008,0,0
0.009,0,0
0.010,0,0
0.010,0,0
0.010,0,0
0.011,0,0
0.012,0,0
0.012,0,0
0.012,0,0
0.013,0,0
0.014,0,0
0.014,0,0
0.014,0,0
0.015,0,0
0.016,0,0
0.016,0,0
0.016,0,0
0.017,0,0
0.018,0,0
0.018,0,0
0.018,0,0
0.019,0,0
0.020,0,0
0.020,0,0
0.020,0,0
0.021,0,0
0.022,0,0
0.022,0,0
0.022,0,0
0.023,0,0
0.024,0,0
0.024,0,0
0.024,0,0
0.025,0,0
0.026,0,0
0.026,0,0
0.026,0,0
0.027,0,0
0.028,0,0
0.028,0,0
0.028,0,0
0.029,0,0
0.030,0,0
0.030,0,0
0.030,0,0
0.031,0,0
0.032,0,0
0.032,0,0
0.032,0,0
0.033,0,0
0.034,0,0
0.034,0,0
0.034,0,0
0.035,0,0
0.036,0,0
0.036,0,0
0.036,0,0
0.037,0,0
0.038,0,0
0.038,0,0
0.038,0,0
0.039,0,0
0.040,0,0
0.040,0,0
0.040,0,0
0.041,0,0
0.042,0,0
0.042,0,0
0.042,0,0
0.043,0,0
0.044,0,0
0.044,0,0
0.044,0,0
0.045,1,0
0.046,1,0
0.046,1,0
0.046,1,0
0.047,1,0
0.048,1,0
0.048,1,0
0.048,1,0
0.049,1,0
0.050,2,2
0.050,2,2
0.050,2,2
0.051,2,2
0.052,2,2
0.052,2,2
0.052,2,2
0.053,2,2
0.054,2,2
0.054,2,2
0.054,2,2
0.055,3,3
0.056,3,3
0.056,3,3
0.056,3,3
0.057,3,3
0.058,3,3
0.058,3,3
0.058,3,3
0.059,3,3
0.060,3,3
0.060,3,3
0.060,3,3
0.061,3,3
0.062,3,3
0.062,3,3
0.062,3,3
0.063,3,3
0.064,3,3
0.064,3,3
0.064,3,3
0.065,3,3
0.066,3,3
0.066,3,3
0.066,3,3
0.067,3,3
0.068,3,3
0.068,3,3
0.068,3,3
0.069,3,3
0.070,3,3
0.070,3,3
0.070,3,3
0.071,3,3
0.072,3,3
0.072,3,3
0.072,3,3
0.073,3,3
0.074,3,3
0.074,3,3
0.074,3,3
0.075,3,3
0.076,3,3
0.076,3,3
0.076,3,3
0.077,3,3
0.078,3,3
0.078,3,3
0.078,3,3
0.079,3,3
0.080,3,3
0.080,3,3
0.080,3,3
0.081,3,3
0.082,3,3
0.082,3,3
0.082,3,3
0.083,3,3
0.084,3,3
0.084,3,3
0.084,3,3
0.085,3,3
0.086,3,3
0.086,3,3
0.087,3,3
0.087,3,3
0.088,3,3
0.088,3,3
0.088,3,3
0.089,3,3
0.090,3,3
0.090,3,3
0.090,3,3
0.091,3,3
0.092,3,3
0.092,3,3
0.092,3,3
0.093,4,4
0.094,4,4
0.094,4,4
0.094,4,4
0.095,4,4
0.096,4,4
0.096,4,4
0.096,4,4
0.097,4,4
0.098,4,4
0.098,4,4
0.098,4,4
0.099,4,4
0.100,4,4
0.100,4,4
0.100,4,4
0.101,4,4
0.102,4,4
0.102,4,4
0.103,4,4
0.103,4,4
0.104,4,4
0.104,4,4
0.104,4,4
0.105,5,5
0.106,5,5
0.106,5,5
0.106,5,5
0.107,5,5
0.108,5,5
0.108,5,5
0.108,5,5
0.109,5,5
0.110,5,5
0.110,5,5
0.110,5,5
0.111,5,5
0.112,5,5
0.112,5,5
0.112,5,5
0.113,5,5
0.114,5,5
0.114,5,5
0.114,5,5
0.115,5,5
0.116,5,5
0.116,5,5
0.116,5,5
0.117,5,5
0.118,5,5
0.118,5,5
0.119,5,5
0.119,5,5
0.120,5,5
0.120,5,5
0.120,5,5
0.121,5,5
0.122,5,5
0.122,5,5
0.122,5,5
0.123,5,5
0.124,5,5
0.124,5,5
0.124,5,5
0.125,5,5
0.126,5,5
0.126,5,5
0.126,5,5
0.127,5,5
0.128,5,5
0.128,5,5
0.128,5,5
0.129,5,5
0.130,5,5
0.130,5,5
0.130,5,5
0.131,6,6
0.132,7,6
0.132,7,6
0.132,7,6
0.133,7,6
0.134,8,7
0.134,8,7
0.134,8,7
0.135,8,7
0.136,8,7
0.136,8,7
0.136,8,7
0.137,8,7
0.138,8,7
0.138,8,7
0.138,8,7
0.139,8,7
0.140,8,7
0.140,8,7
0.140,8,7
0.141,8,7
0.142,8,7
0.142,8,7
0.143,8,7
0.143,8,7
0.144,8,7
0.144,8,7
0.144,8,7
0.145,8,7
0.146,8,7
0.146,8,7
0.146,8,7
0.147,8,7
0.148,8,7
0.148,8,7
0.148,8,7
0.149,8,7
0.150,8,7
0.150,8,7
0.150,8,7
0.151,8,7
0.152,8,7
0.152,8,7
0.152,8,7
0.153,8,7
0.154,8,7
0.154,8,7
0.154,8,7
0.155,8,7
0.156,8,7
0.156,8,7
0.156,8,7
0.157,8,7
0.158,8,7
0.158,8,7
0.158,8,7
0.159,9,8
0.160,9,8
0.160,9,8
0.160,9,8
0.161,9,8
0.162,10,9
0.162,10,9
0.162,10,9
0.163,10,9
0.164,10,9
0.164,10,9
0.164,10,9
0.165,10,9
0.166,10,9
0.166,10,9
0.166,10,9
0.167,10,9
0.168,10,9
0.168,10,9
0.168,10,9
0.169,10,9
0.170,10,9
0.170,10,9
0.170,10,9
0.171,10,9
0.172,10,9
0.172,10,9
0.173,11,10
0.173,11,10
0.174,11,10
0.174,11,10
0.175,11,10
0.175,11,10
0.176,11,10
0.176,11,10
0.176,11,10
0.177,11,10
0.178,11,10
0.178,11,10
0.178,11,10
0.179,11,10
0.180,11,10
0.180,11,10
0.180,11,10
0.181,11,10
0.182,11,10
0.182,11,10
0.182,11,10
0.183,11,10
0.184,12,11
0.184,12,11
0.184,12,11
0.185,12,11
0.186,12,11
0.186,12,11
0.186,12,11
0.187,12,11
0.188,13,12
0.188,13,12
0.188,13,12
0.189,13,12
0.190,13,12
0.190,13,12
0.190,13,12
0.191,13,12
0.192,13,12
0.192,13,12
0.192,13,12
0.193,14,13
0.194,14,13
0.194,14,13
0.194,14,13
0.195,14,13
0.196,14,13
0.196,14,13
0.196,14,13
0.197,14,13
0.198,14,13
0.198,14,13
0.198,14,13
0.199,14,13
0.200,14,13
0.200,14,13
0.200,14,13
0.201,14,13
0.202,14,13
0.202,14,13
0.202,14,13
0.203,14,13
0.204,15,14
0.204,15,14
0.205,16,15
0.205,16,15
0.206,17,16
0.206,17,16
0.207,18,17
0.207,18,17
0.208,18,17
0.208,18,17
0.208,18,17
0.209,18,17
0.210,18,17
0.210,18,17
0.210,18,17
0.211,18,17
0.212,18,17
0.212,18,17
0.212,18,17
0.213,18,17
0.214,18,17
0.214,18,17
0.214,18,17
0.215,18,17
0.216,18,17
0.216,18,17
0.216,18,17
0.217,18,17
0.218,18,17
0.218,18,17
0.218,18,17
0.219,18,17
0.220,18,17
0.220,18,17
0.220,18,17
0.221,18,17
0.222,18,17
0.222,18,17
0.222,18,17
0.223,18,17
0.224,18,17
0.224,18,17
0.224,18,17
0.225,18,17
0.226,19,19
0.226,19,19
0.226,19,19
0.227,20,20
0.228,20,20
0.228,20,20
0.228,20,20
0.229,20,20
0.230,21,21
0.230,21,21
0.230,21,21
0.231,21,21
0.232,21,21
0.232,21,21
0.232,21,21
0.233,21,21
0.234,21,21
0.234,21,21
0.234,21,21
0.235,21,21
0.236,21,21
0.236,21,21
0.237,21,21
0.237,21,21
0.238,21,21
0.238,21,21
0.239,21,21
0.239,21,21
0.240,23,23
0.240,23,23
0.240,23,23
0.241,23,23
0.242,23,23
0.242,23,23
0.242,23,23
0.243,23,23
0.244,23,23
0.244,23,23
0.244,23,23
0.245,23,23
0.246,23,23
0.246,23,23
0.246,23,23
