thresh,raw,nonzero_filtered
0.000,0,0
0.000,0,0
0.001,32,32
0.002,35,35
0.002,35,35
0.002,35,35
0.003,38,38
0.004,42,42
0.004,42,42
0.005,48,48
0.005,48,48
0.006,50,50
0.006,50,50
0.007,51,51
0.007,51,51
0.008,53,53
0.008,53,53
0.008,53,53
0.009,53,53
0.010,55,55
0.010,55,55
0.010,55,55
0.011,55,55
0.012,56,56
0.012,56,56
0.012,56,56
0.013,57,57
0.014,57,57
0.014,57,57
0.014,57,57
0.015,57,57
0.016,59,59
0.016,59,59
0.016,59,59
0.017,60,60
0.018,61,61
0.018,61,61
0.018,61,61
0.019,63,63
0.020,64,64
0.020,64,64
0.020,64,64
0.021,66,66
0.022,67,67
0.022,67,67
0.022,67,67
0.023,68,68
0.024,68,68
0.024,68,68
0.024,68,68
0.025,69,69
0.026,69,69
0.026,69,69
0.026,69,69
0.027,69,69
0.028,69,69
0.028,69,69
0.028,69,69
0.029,70,70
0.030,70,70
0.030,70,70
0.030,70,70
0.031,70,70
0.032,70,70
0.032,70,70
0.032,70,70
0.033,71,71
0.034,71,71
0.034,71,71
0.034,71,71
0.035,71,71
0.036,73,73
0.036,73,73
0.036,73,73
0.037,73,73
0.038,73,73
0.038,73,73
0.038,73,73
0.039,76,76
0.040,76,76
0.040,76,76
0.040,76,76
0.041,76,76
0.042,77,77
0.042,77,77
0.042,77,77
0.043,77,77
0.044,78,78
0.044,78,78
0.044,78,78
0.045,78,78
0.046,78,78
0.046,78,78
0.046,78,78
0.047,78,78
0.048,78,78
0.048,78,78
0.048,78,78
0.049,78,78
0.050,81,81
0.050,81,81
0.050,81,81
0.051,81,81
0.052,81,81
0.052,81,81
0.052,81,81
0.053,81,81
0.054,83,83
0.054,83,83
0.054,83,83
0.055,83,83
0.056,85,85
0.056,85,85
0.056,85,85
0.057,85,85
0.058,86,86
0.058,86,86
0.058,86,86
0.059,86,86
0.060,86,86
0.060,86,86
0.060,86,86
0.061,86,86
0.062,86,86
0.062,86,86
0.062,86,86
0.063,87,87
0.064,87,87
0.064,87,87
0.064,87,87
0.065,88,88
0.066,88,88
0.066,88,88
0.066,88,88
0.067,88,88
0.068,88,88
0.068,88,88
0.068,88,88
0.069,88,88
0.070,89,89
0.070,89,89
0.070,89,89
0.071,90,90
0.072,90,90
0.072,90,90
0.072,90,90
0.073,90,90
0.074,91,91
0.074,91,91
0.074,91,91
0.075,91,91
0.076,91,91
0.076,91,91
0.076,91,91
0.077,91,91
0.078,91,91
0.078,91,91
0.078,91,91
0.079,91,91
0.080,91,91
0.080,91,91
0.080,91,91
0.081,91,91
0.082,91,91
0.082,91,91
0.082,91,91
0.083,91,91
0.084,91,91
0.084,91,91
0.084,91,91
0.085,91,91
0.086,91,91
0.086,91,91
0.087,91,91
0.087,91,91
0.088,91,91
0.088,91,91
0.088,91,91
0.089,91,91
0.090,91,91
0.090,91,91
0.090,91,91
0.091,91,91
0.092,91,91
0.092,91,91
0.092,91,91
0.093,91,91
0.094,91,91
0.094,91,91
0.094,91,91
0.095,91,91
0.096,91,91
0.096,91,91
0.096,91,91
0.097,91,91
0.098,91,91
0.098,91,91
0.098,91,91
0.099,91,91
0.100,92,92
0.100,92,92
0.100,92,92
0.101,92,92
0.102,92,92
0.102,92,92
0.103,93,93
0.103,93,93
0.104,93,93
0.104,93,93
0.104,93,93
0.105,94,94
0.106,94,94
0.106,94,94
0.106,94,94
0.107,94,94
0.108,94,94
0.108,94,94
0.108,94,94
0.109,94,94
0.110,94,94
0.110,94,94
0.110,94,94
0.111,94,94
0.112,94,94
0.112,94,94
0.112,94,94
0.113,95,95
0.114,95,95
0.114,95,95
0.114,95,95
0.115,95,95
0.116,95,95
0.116,95,95
0.116,95,95
0.117,95,95
0.118,95,95
0.118,95,95
0.119,95,95
0.119,95,95
0.120,95,95
0.120,95,95
0.120,95,95
0.121,95,95
0.122,96,96
0.122,96,96
0.122,96,96
0.123,96,96
0.124,96,96
0.124,96,96
0.124,96,96
0.125,96,96
0.126,97,97
0.126,97,97
0.126,97,97
0.127,97,97
0.128,97,97
0.128,97,97
0.128,97,97
0.129,97,97
0.130,98,98
0.130,98,98
0.130,98,98
0.131,98,98
0.132,98,98
0.132,98,98
0.132,98,98
0.133,98,98
0.134,98,98
0.134,98,98
0.134,98,98
0.135,98,98
0.136,98,98
0.136,98,98
0.136,98,98
0.137,99,99
0.138,99,99
0.138,99,99
0.138,99,99
0.139,99,99
0.140,99,99
0.140,99,99
0.140,99,99
0.141,99,99
0.142,99,99
0.142,99,99
0.143,99,99
0.143,99,99
0.144,99,99
0.144,99,99
0.144,99,99
0.145,99,99
0.146,99,99
0.146,99,99
0.146,99,99
0.147,100,100
0.148,101,101
0.148,101,101
0.148,101,101
0.149,101,101
0.150,101,101
0.150,101,101
0.150,101,101
0.151,101,101
0.152,101,101
0.152,101,101
0.152,101,101
0.153,102,102
0.154,103,103
0.154,103,103
0.154,103,103
0.155,103,103
0.156,103,103
0.156,103,103
0.156,103,103
0.157,103,103
0.158,103,103
0.158,103,103
0.158,103,103
0.159,103,103
0.160,103,103
0.160,103,103
0.160,103,103
0.161,103,103
0.162,103,103
0.162,103,103
0.162,103,103
0.163,103,103
0.164,103,103
0.164,103,103
0.164,103,103
0.165,103,103
0.166,103,103
0.166,103,103
0.166,103,103
0.167,103,103
0.168,103,103
0.168,103,103
0.168,103,103
0.169,103,103
0.170,103,103
0.170,103,103
0.170,103,103
0.171,103,103
0.172,103,103
0.172,103,103
0.173,103,103
0.173,103,103
0.174,103,103
0.174,103,103
0.175,103,103
0.175,103,103
0.176,103,103
0.176,103,103
0.176,103,103
0.177,103,103
0.178,103,103
0.178,103,103
0.178,103,103
0.179,103,103
0.180,103,103
0.180,103,103
0.180,103,103
0.181,103,103
0.182,103,103
0.182,103,103
0.182,103,103
0.183,103,103
0.184,103,103
0.184,103,103
0.184,103,103
0.185,103,103
0.186,103,103
0.186,103,103
0.186,103,103
0.187,103,103
0.188,103,103
0.188,103,103
0.188,103,103
0.189,103,103
0.190,103,103
0.190,103,103
0.190,103,103
0.191,103,103
0.192,103,103
0.192,103,103
0.192,103,103
0.193,103,103
0.194,103,103
0.194,103,103
0.194,103,103
0.195,103,103
0.196,103,103
0.196,103,103
0.196,103,103
0.197,103,103
0.198,103,103
0.198,103,103
0.198,103,103
0.199,104,104
0.200,104,104
0.200,104,104
0.200,104,104
0.201,104,104
0.202,105,105
0.202,105,105
0.202,105,105
0.203,105,105
0.204,105,105
0.204,105,105
0.205,105,105
0.205,105,105
0.206,106,106
0.206,106,106
0.207,106,106
0.207,106,106
0.208,106,106
0.208,106,106
0.208,106,106
0.209,106,106
0.210,106,106
0.210,106,106
0.210,106,106
0.211,106,106
0.212,106,106
0.212,106,106
0.212,106,106
0.213,106,106
0.214,106,106
0.214,106,106
0.214,106,106
0.215,106,106
0.216,106,106
0.216,106,106
0.216,106,106
0.217,106,106
0.218,106,106
0.218,106,106
0.218,106,106
0.219,106,106
0.220,106,106
0.220,106,106
0.220,106,106
0.221,106,106
0.222,106,106
0.222,106,106
0.222,106,106
0.223,106,106
0.224,106,106
0.224,106,106
0.224,106,106
0.225,107,107
0.226,107,107
0.226,107,107
0.226,107,107
0.227,107,107
0.228,107,107
0.228,107,107
0.228,107,107
0.229,107,107
0.230,107,107
0.230,107,107
0.230,107,107
0.231,107,107
0.232,107,107
0.232,107,107
0.232,107,107
0.233,107,107
0.234,107,107
0.234,107,107
0.234,107,107
0.235,108,108
0.236,108,108
0.236,108,108
0.237,108,108
0.237,108,108
0.238,108,108
0.238,108,108
0.239,108,108
0.239,108,108
0.240,108,108
0.240,108,108
0.240,108,108
0.241,108,108
0.242,108,108
0.242,108,108
0.242,108,108
0.243,108,108
0.244,108,108
0.244,108,108
0.244,108,108
0.245,108,108
0.246,108,108
0.246,108,108
0.246,108,108
