combo
ADAM15__L2|ITGB1__L3-eNeuron_Unknown_6.3
ADAM15__Lhx6|ITGB1__iNeuron_Unknown_6.3
AGRN__L4|DAG1__eNeuron_OPC
AGRN__L4|DAG1__eNeuron_Unknown_6.3
AGRN__L4|DAG1__eNeuron_astrocytes
AGRN__L4|DAG1__eNeuron_mural
AGRN__L4|LRP4__eNeuron_OPC
AGRN__L4|LRP4__eNeuron_astrocytes
AGRN__L4|LRP4__eNeuron_endothelial
AGRN__L5|DAG1__eNeuron_OPC
AGRN__L5|DAG1__eNeuron_Unknown_6.3
AGRN__L5|DAG1__eNeuron_astrocytes
AGRN__L5|DAG1__eNeuron_mural
AGRN__L5|LRP4__eNeuron_OPC
AGRN__L5|LRP4__eNeuron_astrocytes
AGRN__L5|LRP4__eNeuron_endothelial
CADM3__Adarb2|CADM3__iNeuron_L2-L3-eNeuron
CADM3__Adarb2|CADM3__iNeuron_Lhx6-iNeuron
CADM3__Adarb2|CADM3__iNeuron_OPC
CADM3__Adarb2|CADM3__iNeuron_Unknown_5.3
CADM3__L2|CADM3__L3-eNeuron_Lhx6-iNeuron
CADM3__L2|CADM3__L3-eNeuron_OPC
CADM3__L2|CADM3__L3-eNeuron_Unknown_5.3
CADM3__L4|CADM3__eNeuron_L2-L3-eNeuron
CADM3__L4|CADM3__eNeuron_Lhx6-iNeuron
CADM3__L4|CADM3__eNeuron_OPC
CADM3__L4|CADM3__eNeuron_Unknown_5.3
CADM3__L5|CADM3__eNeuron_L2-L3-eNeuron
CADM3__L5|CADM3__eNeuron_Lhx6-iNeuron
CADM3__L5|CADM3__eNeuron_OPC
CADM3__L5|CADM3__eNeuron_Unknown_5.3
CADM3__L6|CADM3__eNeuron_L2-L3-eNeuron
CADM3__L6|CADM3__eNeuron_Lhx6-iNeuron
CADM3__L6|CADM3__eNeuron_OPC
CADM3__L6|CADM3__eNeuron_Unknown_5.3
CADM3__Lhx6|CADM3__iNeuron_L2-L3-eNeuron
CADM3__Lhx6|CADM3__iNeuron_OPC
CADM3__Lhx6|CADM3__iNeuron_Unknown_5.3
CADM3__OPC_L2|CADM3__L3-eNeuron
