pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
SHANK1__L6-eNeuron|SLC17A7__L5-eNeuron,SHANK1,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.033571288
SHANK1__L2-L3-eNeuron|SLC17A7__L4-eNeuron,SHANK1,SLC17A7,L2-L3-eNeuron,L4-eNeuron,74,96,0.028423918
SHANK1__L2-L3-eNeuron|LINGO1__L4-eNeuron,SHANK1,LINGO1,L2-L3-eNeuron,L4-eNeuron,74,96,0.02593097
RPH3A__L6-eNeuron|SLC17A7__L5-eNeuron,RPH3A,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.023619385
SHANK1__L6-eNeuron|LINGO1__L5-eNeuron,SHANK1,LINGO1,L6-eNeuron,L5-eNeuron,124,64,0.022211563
CADM3__L5-eNeuron|SLC17A7__L6-eNeuron,CADM3,SLC17A7,L5-eNeuron,L6-eNeuron,64,124,0.021610744
CADM3__L2-L3-eNeuron|SLC17A7__L4-eNeuron,CADM3,SLC17A7,L2-L3-eNeuron,L4-eNeuron,74,96,0.021586545
LRRC4B__L6-eNeuron|SLC17A7__L5-eNeuron,LRRC4B,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.021173483
CADM3__L6-eNeuron|SLC17A7__L5-eNeuron,CADM3,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.020254685
CADM3__L2-L3-eNeuron|LINGO1__L4-eNeuron,CADM3,LINGO1,L2-L3-eNeuron,L4-eNeuron,74,96,0.01969511
CADM3__L4-eNeuron|SLC17A7__L2-L3-eNeuron,CADM3,SLC17A7,L4-eNeuron,L2-L3-eNeuron,96,74,0.019267358
PLTP__endothelial|SLC17A7__L6-eNeuron,PLTP,SLC17A7,endothelial,L6-eNeuron,33,124,0.018862832
ICAM5__L6-eNeuron|SLC17A7__L5-eNeuron,ICAM5,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.018832581
SHANK1__L6-eNeuron|SV2A__L5-eNeuron,SHANK1,SV2A,L6-eNeuron,L5-eNeuron,124,64,0.018127257
SHANK1__L6-eNeuron|ADCY1__L5-eNeuron,SHANK1,ADCY1,L6-eNeuron,L5-eNeuron,124,64,0.017039174
SHANK1__L6-eNeuron|STX1A__L5-eNeuron,SHANK1,STX1A,L6-eNeuron,L5-eNeuron,124,64,0.016820392
IGFBP4__L2-L3-eNeuron|SLC17A7__L4-eNeuron,IGFBP4,SLC17A7,L2-L3-eNeuron,L4-eNeuron,74,96,0.016560918
CADM3__L4-eNeuron|LINGO1__L2-L3-eNeuron,CADM3,LINGO1,L4-eNeuron,L2-L3-eNeuron,96,74,0.016466854
SHANK1__L6-eNeuron|EPHB6__L5-eNeuron,SHANK1,EPHB6,L6-eNeuron,L5-eNeuron,124,64,0.016448237
SHANK1__L2-L3-eNeuron|RTN4R__L4-eNeuron,SHANK1,RTN4R,L2-L3-eNeuron,L4-eNeuron,74,96,0.016355224
SHANK1__L6-eNeuron|KCNJ4__L5-eNeuron,SHANK1,KCNJ4,L6-eNeuron,L5-eNeuron,124,64,0.016243612
SHANK1__L6-eNeuron|CADM3__L5-eNeuron,SHANK1,CADM3,L6-eNeuron,L5-eNeuron,124,64,0.015745534
GLG1__L6-eNeuron|SLC17A7__L5-eNeuron,GLG1,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.015697157
RPH3A__L6-eNeuron|LINGO1__L5-eNeuron,RPH3A,LINGO1,L6-eNeuron,L5-eNeuron,124,64,0.015637752
BAG6__L2-L3-eNeuron|SLC17A7__L4-eNeuron,BAG6,SLC17A7,L2-L3-eNeuron,L4-eNeuron,74,96,0.015508577
SHANK1__L6-eNeuron|GABBR2__L5-eNeuron,SHANK1,GABBR2,L6-eNeuron,L5-eNeuron,124,64,0.015276038
IGFBP4__L2-L3-eNeuron|LINGO1__L4-eNeuron,IGFBP4,LINGO1,L2-L3-eNeuron,L4-eNeuron,74,96,0.015118056
SHANK1__L2-L3-eNeuron|SV2A__L4-eNeuron,SHANK1,SV2A,L2-L3-eNeuron,L4-eNeuron,74,96,0.0146093415
SHANK1__L2-L3-eNeuron|KCNJ4__L4-eNeuron,SHANK1,KCNJ4,L2-L3-eNeuron,L4-eNeuron,74,96,0.014563151
PLTP__endothelial|SLC17A7__L4-eNeuron,PLTP,SLC17A7,endothelial,L4-eNeuron,33,96,0.014493293
ICAM5__L2-L3-eNeuron|SLC17A7__L4-eNeuron,ICAM5,SLC17A7,L2-L3-eNeuron,L4-eNeuron,74,96,0.014415228
SHANK1__L6-eNeuron|SLC17A7__L4-eNeuron,SHANK1,SLC17A7,L6-eNeuron,L4-eNeuron,124,96,0.014353005
NTRK3__L6-eNeuron|SLC17A7__L5-eNeuron,NTRK3,SLC17A7,L6-eNeuron,L5-eNeuron,124,64,0.014269233
