Sender,Receiver,score,Ligand,Receptor
Adarb2-iNeuron,Adarb2-iNeuron,0.007568167242583755,Adam15,Itgb1
Astrocyte,Adarb2-iNeuron,0.0,Adam15,Itgb1
Choroid Plexus,Adarb2-iNeuron,0.0,Adam15,Itgb1
Endothelial,Adarb2-iNeuron,0.0,Adam15,Itgb1
Ependymal,Adarb2-iNeuron,0.0,Adam15,Itgb1
Excitatory neuron,Adarb2-iNeuron,0.0,Adam15,Itgb1
Interneuron,Adarb2-iNeuron,0.0,Adam15,Itgb1
L2-L3-eNeuron,Adarb2-iNeuron,5.158014353451717e-05,Adam15,Itgb1
L4-eNeuron,Adarb2-iNeuron,5.1274428212627924e-05,Adam15,Itgb1
L5-eNeuron,Adarb2-iNeuron,4.887558494103397e-05,Adam15,Itgb1
L6-eNeuron,Adarb2-iNeuron,7.207473952278395e-05,Adam15,Itgb1
Lhx6-iNeuron,Adarb2-iNeuron,4.972414725330649e-05,Adam15,Itgb1
Microglia,Adarb2-iNeuron,0.0,Adam15,Itgb1
Neural Stem,Adarb2-iNeuron,0.0,Adam15,Itgb1
Neuroblast,Adarb2-iNeuron,0.0,Adam15,Itgb1
OPC,Adarb2-iNeuron,4.194666453148419e-05,Adam15,Itgb1
Olig,Adarb2-iNeuron,8.05063330763067e-08,Adam15,Itgb1
Oligodendrocyte,Adarb2-iNeuron,0.0,Adam15,Itgb1
astrocytes,Adarb2-iNeuron,0.0003394293295943569,Adam15,Itgb1
endothelial,Adarb2-iNeuron,7.054355984591372e-05,Adam15,Itgb1
microglia,Adarb2-iNeuron,6.728643662856392e-07,Adam15,Itgb1
mural,Adarb2-iNeuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,Astrocyte,0.0,Adam15,Itgb1
Astrocyte,Astrocyte,5.56923339365531e-05,Adam15,Itgb1
Choroid Plexus,Astrocyte,0.000592313217275908,Adam15,Itgb1
Endothelial,Astrocyte,0.0003951389175305819,Adam15,Itgb1
Ependymal,Astrocyte,2.1465838938882147e-06,Adam15,Itgb1
Excitatory neuron,Astrocyte,7.795371669831074e-07,Adam15,Itgb1
Interneuron,Astrocyte,0.0011186264181582708,Adam15,Itgb1
L2-L3-eNeuron,Astrocyte,0.0,Adam15,Itgb1
L4-eNeuron,Astrocyte,0.0,Adam15,Itgb1
L5-eNeuron,Astrocyte,0.0,Adam15,Itgb1
L6-eNeuron,Astrocyte,0.0,Adam15,Itgb1
Lhx6-iNeuron,Astrocyte,0.0,Adam15,Itgb1
Microglia,Astrocyte,0.0018083503091766105,Adam15,Itgb1
Neural Stem,Astrocyte,5.716811482927063e-06,Adam15,Itgb1
Neuroblast,Astrocyte,0.00039255124038125244,Adam15,Itgb1
OPC,Astrocyte,0.0,Adam15,Itgb1
Olig,Astrocyte,0.0,Adam15,Itgb1
Oligodendrocyte,Astrocyte,0.0,Adam15,Itgb1
astrocytes,Astrocyte,0.0,Adam15,Itgb1
endothelial,Astrocyte,0.0,Adam15,Itgb1
microglia,Astrocyte,0.0,Adam15,Itgb1
mural,Astrocyte,0.0,Adam15,Itgb1
Adarb2-iNeuron,Choroid Plexus,0.0,Adam15,Itgb1
Astrocyte,Choroid Plexus,0.0007209276623143161,Adam15,Itgb1
Choroid Plexus,Choroid Plexus,0.00043465326797201536,Adam15,Itgb1
Endothelial,Choroid Plexus,0.0009156120881536767,Adam15,Itgb1
Ependymal,Choroid Plexus,0.00046641600481408434,Adam15,Itgb1
Excitatory neuron,Choroid Plexus,0.0006349270717058336,Adam15,Itgb1
Interneuron,Choroid Plexus,0.0003053259612467915,Adam15,Itgb1
L2-L3-eNeuron,Choroid Plexus,6.547241366636491e-05,Adam15,Itgb1
L4-eNeuron,Choroid Plexus,0.0,Adam15,Itgb1
L5-eNeuron,Choroid Plexus,0.0,Adam15,Itgb1
L6-eNeuron,Choroid Plexus,0.0,Adam15,Itgb1
Lhx6-iNeuron,Choroid Plexus,0.0,Adam15,Itgb1
Microglia,Choroid Plexus,0.00043242516410790777,Adam15,Itgb1
Neural Stem,Choroid Plexus,0.0004794531153108446,Adam15,Itgb1
Neuroblast,Choroid Plexus,0.0001591328867762276,Adam15,Itgb1
OPC,Choroid Plexus,0.0,Adam15,Itgb1
Olig,Choroid Plexus,0.0,Adam15,Itgb1
Oligodendrocyte,Choroid Plexus,0.00041623502621241146,Adam15,Itgb1
astrocytes,Choroid Plexus,0.0,Adam15,Itgb1
endothelial,Choroid Plexus,0.0,Adam15,Itgb1
microglia,Choroid Plexus,0.0,Adam15,Itgb1
mural,Choroid Plexus,0.0,Adam15,Itgb1
Adarb2-iNeuron,Endothelial,0.0,Adam15,Itgb1
Astrocyte,Endothelial,0.0003891713531749486,Adam15,Itgb1
Choroid Plexus,Endothelial,0.00023843849305078688,Adam15,Itgb1
Endothelial,Endothelial,0.002276730658067788,Adam15,Itgb1
Ependymal,Endothelial,0.0,Adam15,Itgb1
Excitatory neuron,Endothelial,2.8937279037635693e-06,Adam15,Itgb1
Interneuron,Endothelial,0.00045856359141929526,Adam15,Itgb1
L2-L3-eNeuron,Endothelial,0.0001431607253487941,Adam15,Itgb1
L4-eNeuron,Endothelial,0.0,Adam15,Itgb1
L5-eNeuron,Endothelial,0.0,Adam15,Itgb1
L6-eNeuron,Endothelial,0.0,Adam15,Itgb1
Lhx6-iNeuron,Endothelial,0.0,Adam15,Itgb1
Microglia,Endothelial,0.00010689848070468156,Adam15,Itgb1
Neural Stem,Endothelial,0.00022815050238336293,Adam15,Itgb1
Neuroblast,Endothelial,0.00014928345916369947,Adam15,Itgb1
OPC,Endothelial,0.0,Adam15,Itgb1
Olig,Endothelial,0.0,Adam15,Itgb1
Oligodendrocyte,Endothelial,0.0005571447483641832,Adam15,Itgb1
astrocytes,Endothelial,0.0,Adam15,Itgb1
endothelial,Endothelial,0.0,Adam15,Itgb1
