Sender,Receiver,Ligand,Receptor,LRscore
Adarb2-iNeuron,mural,ADAM15,ITGB1,9.188982259802476e-6
L2-L3-eNeuron,mural,ADAM15,ITGB1,1.4808809941144e-4
microglia,mural,ADAM15,ITGB1,4.4357596468722e-4
L4-eNeuron,OPC,AGRN,DAG1,1.96940122592e-4
L4-eNeuron,astrocytes,AGRN,DAG1,8.2538713544499e-4
L4-eNeuron,endothelial,AGRN,DAG1,2.4352305693270627e-5
L4-eNeuron,mural,AGRN,DAG1,3.466760715429504e-5
L4-eNeuron,OPC,AGRN,LRP4,3.3131821993329e-4
L4-eNeuron,Olig,AGRN,LRP4,0
L4-eNeuron,astrocytes,AGRN,LRP4,7.6032472719654e-4
L4-eNeuron,endothelial,AGRN,LRP4,1.5592387617149e-4
L5-eNeuron,OPC,AGRN,DAG1,1.1927206338716e-4
L5-eNeuron,astrocytes,AGRN,DAG1,6.0329462447308e-4
L5-eNeuron,endothelial,AGRN,DAG1,2.4179304088167e-4
L5-eNeuron,mural,AGRN,DAG1,1.3319775806238e-4
L5-eNeuron,OPC,AGRN,LRP4,1.093335759452e-4
L5-eNeuron,Olig,AGRN,LRP4,7.4447330904335e-4
L5-eNeuron,astrocytes,AGRN,LRP4,4.4939865864839e-4
L5-eNeuron,endothelial,AGRN,LRP4,3.8508951304454e-4
Olig,OPC,AGRN,DAG1,0.00189725004329533
Olig,astrocytes,AGRN,DAG1,0.00210863678658384
Olig,endothelial,AGRN,DAG1,2.654624454545e-4
Olig,mural,AGRN,DAG1,1.3291642421007844e-6
Olig,OPC,AGRN,LRP4,0.0018438610381335
Olig,astrocytes,AGRN,LRP4,0.0036141449880066
Olig,endothelial,AGRN,LRP4,0.00113927284264204
astrocytes,OPC,AGRN,DAG1,5.202682564176e-4
astrocytes,endothelial,AGRN,DAG1,5.491871834972552e-5
astrocytes,mural,AGRN,DAG1,4.5024224332541e-4
astrocytes,OPC,AGRN,LRP4,8.5171227549797e-4
astrocytes,Olig,AGRN,LRP4,5.9205411801291e-4
astrocytes,endothelial,AGRN,LRP4,1.0802054157377e-4
endothelial,OPC,AGRN,DAG1,9.4112775910912e-4
endothelial,astrocytes,AGRN,DAG1,0.0012506917866009
endothelial,mural,AGRN,DAG1,9.2824152381545e-4
endothelial,OPC,AGRN,LRP4,5.9951539938007e-4
endothelial,Olig,AGRN,LRP4,1.4773038229295e-4
endothelial,astrocytes,AGRN,LRP4,0.00239804774878556
mural,OPC,AGRN,DAG1,0.00114294766362584
mural,astrocytes,AGRN,DAG1,9.777226992738e-4
mural,endothelial,AGRN,DAG1,2.2504854603579e-4
mural,OPC,AGRN,LRP4,6.9398493984836e-4
mural,Olig,AGRN,LRP4,0.00196323084323043
mural,astrocytes,AGRN,LRP4,0.00107814446026272
mural,endothelial,AGRN,LRP4,5.6253418280611e-4
