cell,cluster,x,y
cell_1,L2-L3-eNeuron,1632.02,-1305.7
cell_2,L2-L3-eNeuron,1589.47,-669.51
cell_3,L2-L3-eNeuron,1539.89,-1185.9
cell_4,Lhx6-iNeuron,1513.94,-710.24
cell_5,L2-L3-eNeuron,1477.85,-763.87
cell_6,Lhx6-iNeuron,1304.03,-1142.4
cell_7,L2-L3-eNeuron,1291.34,-957.71
cell_8,Adarb2-iNeuron,1282.49,-1725.4
cell_9,L2-L3-eNeuron,1218.73,-806.56
cell_10,L2-L3-eNeuron,1192.59,-1800.1
cell_11,L2-L3-eNeuron,1202.12,-1886
cell_12,L2-L3-eNeuron,1183.07,-950.97
cell_13,microglia,1162.46,-593.51
cell_14,L2-L3-eNeuron,1128.82,-1596.5
cell_15,L2-L3-eNeuron,1115.86,-1021.4
cell_16,Lhx6-iNeuron,1102.88,-1696
cell_17,L2-L3-eNeuron,1074.92,-391.16
cell_18,L2-L3-eNeuron,1045.9,-597.81
cell_19,microglia,1037.4,-1865.2
cell_20,L2-L3-eNeuron,1024.7,-469.54
cell_21,L2-L3-eNeuron,1017.8,-1636.6
cell_22,Lhx6-iNeuron,1006,-344.12
cell_23,endothelial,992.9,-1293.3
cell_24,Adarb2-iNeuron,980.8,-1378.9
cell_25,L2-L3-eNeuron,938.6,-1594.2
cell_26,Adarb2-iNeuron,922.8,-822.23
cell_27,L2-L3-eNeuron,923.3,-560.36
cell_28,L2-L3-eNeuron,912.5,-742.3
cell_29,L2-L3-eNeuron,913.1,-1751.6
cell_30,L2-L3-eNeuron,882,-668.36
cell_31,L2-L3-eNeuron,810.5,-241.57
cell_32,L2-L3-eNeuron,800.9,-624.11
cell_33,L2-L3-eNeuron,802.4,-103.12
cell_34,L2-L3-eNeuron,798.2,-449.39
cell_35,mural,752.7,-1342.6
cell_36,Adarb2-iNeuron,704.5,-407.86
cell_37,astrocytes,618.2,-894.7
cell_38,OPC,610.6,-1272.8
cell_39,L2-L3-eNeuron,612.9,-1363.8
cell_40,astrocytes,565.4,-421.27
cell_41,Adarb2-iNeuron,553.6,-271.42
cell_42,astrocytes,531.9,-1069
cell_43,astrocytes,460.6,-426.59
cell_44,endothelial,417.4,-669.71
cell_45,astrocytes,359.3,-782.61
cell_46,microglia,348.1,-228.25
cell_47,Adarb2-iNeuron,354.2,-442.86
cell_48,OPC,341.4,-973.21
cell_49,Adarb2-iNeuron,321,-1201.2
cell_50,microglia,321.4,-854.77
cell_51,astrocytes,1924.97,-855.84
cell_52,L2-L3-eNeuron,1838.05,-469.57
cell_53,L2-L3-eNeuron,1831.19,-1090.2
cell_54,OPC,1801.58,-267.56
cell_55,L4-eNeuron,1785.95,-981.25
cell_56,L2-L3-eNeuron,1769.95,-390.59
cell_57,L2-L3-eNeuron,1734.44,-1117
cell_58,L2-L3-eNeuron,1687.25,-520.51
cell_59,L2-L3-eNeuron,1664.57,-980.24
cell_60,Adarb2-iNeuron,1657.9,-799.96
cell_61,L2-L3-eNeuron,1508.52,-527.31
cell_62,Adarb2-iNeuron,1482.67,-621.1
cell_63,L2-L3-eNeuron,1369.49,-571.13
cell_64,L4-eNeuron,1839.07,-1458
cell_65,L4-eNeuron,1802.32,-1738.7
cell_66,microglia,1805,-1561.7
cell_67,L2-L3-eNeuron,1812.68,-1319.2
cell_68,L2-L3-eNeuron,1797.44,-1875.4
cell_69,L2-L3-eNeuron,1712.56,-1428.9
cell_70,L2-L3-eNeuron,1679.39,-152.2
cell_71,L2-L3-eNeuron,1649.39,-334.16
cell_72,L2-L3-eNeuron,1632.03,-1623.4
cell_73,L2-L3-eNeuron,1575.96,-228.45
cell_74,L2-L3-eNeuron,1575.84,-1829.6
cell_75,L2-L3-eNeuron,1556.42,-1741.8
cell_76,L2-L3-eNeuron,1566.09,-1418.1
cell_77,L2-L3-eNeuron,1551.13,-363.87
cell_78,L2-L3-eNeuron,1492.65,-291.89
cell_79,L2-L3-eNeuron,1474.76,-1745
cell_80,L2-L3-eNeuron,1466.01,-1617.6
cell_81,L2-L3-eNeuron,1449.26,-1238
cell_82,L4-eNeuron,1457.75,-1875.9
cell_83,L2-L3-eNeuron,1457.65,-402.8
cell_84,L2-L3-eNeuron,1444.82,-238.72
cell_85,L2-L3-eNeuron,1440.75,-1298.3
cell_86,Lhx6-iNeuron,1427.06,-1401
cell_87,endothelial,1414.83,-312.93
cell_88,L2-L3-eNeuron,1400.12,-448.36
cell_89,L4-eNeuron,1357.53,-699.92
cell_90,L4-eNeuron,1351.5,-1923.8
cell_91,L2-L3-eNeuron,1339.72,-370.94
cell_92,L2-L3-eNeuron,1298.05,-781.88
cell_93,L2-L3-eNeuron,1244.38,-191.29
cell_94,Lhx6-iNeuron,1232.85,-1960
cell_95,L2-L3-eNeuron,1228.13,-739.38
cell_96,L4-eNeuron,1210.65,-374.81
cell_97,L2-L3-eNeuron,1208,-1502.4
cell_98,L2-L3-eNeuron,1171.89,-266
cell_99,L2-L3-eNeuron,1156.03,-1357.2
cell_100,astrocytes,1142.25,-446.9
cell_101,L2-L3-eNeuron,1109.02,-1308.9
cell_102,L4-eNeuron,1124.85,-745.68
cell_103,L2-L3-eNeuron,1106.51,-1460.8
cell_104,L4-eNeuron,1064.34,-799.79
cell_105,OPC,992.3,-996.9
cell_106,OPC,990.5,-886.81
cell_107,Lhx6-iNeuron,969.6,-1198.5
cell_108,L2-L3-eNeuron,956.3,-113.16
cell_109,L2-L3-eNeuron,939.4,-280.75
cell_110,Adarb2-iNeuron,907.5,-1444
cell_111,L2-L3-eNeuron,894.4,-234.96
cell_112,L2-L3-eNeuron,891.1,-404.65
cell_113,L2-L3-eNeuron,874.3,-1127
cell_114,Adarb2-iNeuron,786.5,-921.13
cell_115,L2-L3-eNeuron,775.7,-796.06
cell_116,endothelial,490.8,-1336
cell_117,endothelial,421.9,-1794.6
cell_118,astrocytes,270,-1383.3
cell_119,L4-eNeuron,1915.47,-1378.7
cell_120,L4-eNeuron,1896.97,-1547.5
cell_121,L2-L3-eNeuron,1811.07,-1634
cell_122,L4-eNeuron,3248.83,-681.3
cell_123,L4-eNeuron,3142.78,-773.77
cell_124,OPC,3121.48,-861.26
cell_125,L4-eNeuron,3076.52,-682.46
cell_126,endothelial,3023.19,-495.56
cell_127,L4-eNeuron,3013.1,-594.86
cell_128,L4-eNeuron,2990.89,-837.63
cell_129,L4-eNeuron,2904.34,-667.59
cell_130,L4-eNeuron,2865.11,-575.64
cell_131,L4-eNeuron,2863.69,-830.55
cell_132,L4-eNeuron,2773.15,-822.66
cell_133,L4-eNeuron,2719.27,-926.19
cell_134,L4-eNeuron,3561.82,-1601.6
cell_135,L5-eNeuron,3523.37,-1354.5
cell_136,L4-eNeuron,3495.02,-1800.3
cell_137,astrocytes,3492.02,-1675.2
cell_138,L5-eNeuron,3423.84,-1597.6
cell_139,L4-eNeuron,3420.45,-911.59
cell_140,L4-eNeuron,3388.07,-1512.5
cell_141,L4-eNeuron,3289.95,-1083.2
cell_142,L4-eNeuron,3286.12,-1606.3
cell_143,L4-eNeuron,3229.47,-1456.6
cell_144,L4-eNeuron,3163.33,-1464.7
cell_145,L4-eNeuron,3140.89,-1080.9
cell_146,OPC,3155.23,-1255.1
cell_147,L4-eNeuron,3144.8,-1814.4
cell_148,L4-eNeuron,3126.12,-1320.5
cell_149,L4-eNeuron,3099.55,-376.66
cell_150,L4-eNeuron,3054.52,-301.91
cell_151,Lhx6-iNeuron,3054.32,-1376.3
cell_152,L4-eNeuron,3039.23,-1224.7
cell_153,L4-eNeuron,3011.5,-407.08
cell_154,L4-eNeuron,2997.63,-1439.6
cell_155,endothelial,2906.28,-1660.6
cell_156,mural,2897.63,-1213.6
cell_157,L4-eNeuron,2869.05,-1581.2
cell_158,L4-eNeuron,2865.05,-1496.8
cell_159,L4-eNeuron,2853.74,-375.37
cell_160,astrocytes,2856.53,-451.05
cell_161,L4-eNeuron,2847.87,-508.2
cell_162,L4-eNeuron,2836.59,-1402.5
cell_163,L4-eNeuron,2807.27,-1159.9
cell_164,L4-eNeuron,2746.73,-1495.1
cell_165,L4-eNeuron,2729.73,-366.94
cell_166,L4-eNeuron,2729.87,-1388.5
cell_167,L4-eNeuron,2722.57,-513.53
cell_168,endothelial,2710.83,-1039.8
cell_169,L4-eNeuron,2700.37,-289.92
cell_170,L4-eNeuron,2686.47,-1555.4
cell_171,astrocytes,2657.27,-397.93
cell_172,L4-eNeuron,2639.67,-1816.8
cell_173,L4-eNeuron,2637.67,-1311.8
cell_174,L4-eNeuron,2633.27,-1223.2
cell_175,L4-eNeuron,2621.07,-1954.9
cell_176,L4-eNeuron,2624.17,-1410.2
cell_177,Adarb2-iNeuron,2615.77,-1675.7
cell_178,endothelial,2607.77,-1002.1
cell_179,L4-eNeuron,2599.27,-1103.8
cell_180,L4-eNeuron,2590.07,-247.23
cell_181,L4-eNeuron,2583.17,-1534.7
cell_182,L4-eNeuron,2569.37,-493.17
cell_183,L4-eNeuron,2563.67,-176.2
cell_184,L4-eNeuron,2543.37,-1197.8
cell_185,L4-eNeuron,2528.47,-1370.7
cell_186,L4-eNeuron,2530.87,-324.83
cell_187,L4-eNeuron,2529.57,-1443.6
cell_188,L4-eNeuron,2503.17,-427.71
cell_189,L4-eNeuron,2501.77,-1535.1
cell_190,L4-eNeuron,2463.47,-900.27
cell_191,L4-eNeuron,2445.37,-224.88
cell_192,L4-eNeuron,2421.67,-1461.1
cell_193,astrocytes,2414.97,-1021.7
cell_194,L4-eNeuron,2408.07,-1117.7
cell_195,L2-L3-eNeuron,2413.27,-440.01
cell_196,L4-eNeuron,2407.37,-1737.6
cell_197,L4-eNeuron,2385.87,-945.65
cell_198,endothelial,2364.97,-368.95
cell_199,Adarb2-iNeuron,2376.57,-561.77
cell_200,L4-eNeuron,2323.37,-1802.9
