Sender,Receiver,Ligand,Receptor,LRscore,all
microglia,mural,ADAM15,ITGB1,7.814526359203842,microglia_ADAM15_mural_ITGB1
Olig,mural,EFNB3,EPHB6,16.397785730642674,Olig_EFNB3_mural_EPHB6
endothelial,mural,ESAM,ESAM,8.666770457309218,endothelial_ESAM_mural_ESAM
mural,endothelial,ESAM,ESAM,10.398385693647812,mural_ESAM_endothelial_ESAM
astrocytes,mural,FN1,ITGB1,6.942692975716797,astrocytes_FN1_mural_ITGB1
endothelial,mural,FN1,ITGB1,3.6740722803192223,endothelial_FN1_mural_ITGB1
astrocytes,OPC,FN1,SDC4,10.019534210277097,astrocytes_FN1_OPC_SDC4
astrocytes,endothelial,FN1,SDC4,11.244976210246731,astrocytes_FN1_endothelial_SDC4
astrocytes,mural,FN1,SDC4,15.800584712595267,astrocytes_FN1_mural_SDC4
endothelial,OPC,FN1,SDC4,7.55968525427317,endothelial_FN1_OPC_SDC4
endothelial,astrocytes,FN1,SDC4,12.018087594762349,endothelial_FN1_astrocytes_SDC4
endothelial,mural,FN1,SDC4,7.859399277326135,endothelial_FN1_mural_SDC4
mural,OPC,FN1,SDC4,8.271356457365084,mural_FN1_OPC_SDC4
mural,astrocytes,FN1,SDC4,13.247358139231164,mural_FN1_astrocytes_SDC4
mural,endothelial,FN1,SDC4,11.244478111509771,mural_FN1_endothelial_SDC4
astrocytes,mural,GAS6,AXL,11.289758951162685,astrocytes_GAS6_mural_AXL
endothelial,mural,GAS6,AXL,9.09691310613212,endothelial_GAS6_mural_AXL
microglia,mural,GAS6,AXL,11.360969043089604,microglia_GAS6_mural_AXL
Olig,OPC,AGRN,DAG1,18.03206678515135,Olig_AGRN_OPC_DAG1
Olig,astrocytes,AGRN,DAG1,16.742259212570143,Olig_AGRN_astrocytes_DAG1
Olig,endothelial,AGRN,DAG1,13.464083917810388,Olig_AGRN_endothelial_DAG1
Olig,mural,AGRN,DAG1,10.30157282982572,Olig_AGRN_mural_DAG1
astrocytes,OPC,AGRN,DAG1,17.082831760107968,astrocytes_AGRN_OPC_DAG1
astrocytes,endothelial,AGRN,DAG1,13.780879082768504,astrocytes_AGRN_endothelial_DAG1
astrocytes,mural,AGRN,DAG1,11.457681374196161,astrocytes_AGRN_mural_DAG1
endothelial,OPC,AGRN,DAG1,13.454008674403896,endothelial_AGRN_OPC_DAG1
endothelial,astrocytes,AGRN,DAG1,15.235355622939355,endothelial_AGRN_astrocytes_DAG1
endothelial,mural,AGRN,DAG1,13.450315448518241,endothelial_AGRN_mural_DAG1
mural,OPC,AGRN,DAG1,13.53392010636792,mural_AGRN_OPC_DAG1
mural,astrocytes,AGRN,DAG1,12.809786365239828,mural_AGRN_astrocytes_DAG1
mural,endothelial,AGRN,DAG1,15.056144941117447,mural_AGRN_endothelial_DAG1
astrocytes,OPC,LAMB2,DAG1,13.927853053327867,astrocytes_LAMB2_OPC_DAG1
astrocytes,endothelial,LAMB2,DAG1,11.82862023746879,astrocytes_LAMB2_endothelial_DAG1
astrocytes,mural,LAMB2,DAG1,7.228446056942298,astrocytes_LAMB2_mural_DAG1
endothelial,OPC,LAMB2,DAG1,7.714188866616006,endothelial_LAMB2_OPC_DAG1
endothelial,astrocytes,LAMB2,DAG1,12.82531437760111,endothelial_LAMB2_astrocytes_DAG1
endothelial,mural,LAMB2,DAG1,10.040659377099718,endothelial_LAMB2_mural_DAG1
mural,OPC,LAMB2,DAG1,9.599839580486247,mural_LAMB2_OPC_DAG1
mural,astrocytes,LAMB2,DAG1,7.858988569650594,mural_LAMB2_astrocytes_DAG1
mural,endothelial,LAMB2,DAG1,10.218360265247373,mural_LAMB2_endothelial_DAG1
astrocytes,mural,LAMB2,ITGB1,4.951170797137737,astrocytes_LAMB2_mural_ITGB1
endothelial,mural,LAMB2,ITGB1,2.616757800920871,endothelial_LAMB2_mural_ITGB1
astrocytes,OPC,LAMB2,SV2A,14.028038189647988,astrocytes_LAMB2_OPC_SV2A
astrocytes,Olig,LAMB2,SV2A,15.71941818453279,astrocytes_LAMB2_Olig_SV2A
endothelial,OPC,LAMB2,SV2A,7.115045868806453,endothelial_LAMB2_OPC_SV2A
endothelial,Olig,LAMB2,SV2A,11.667567068634078,endothelial_LAMB2_Olig_SV2A
endothelial,astrocytes,LAMB2,SV2A,12.085360210970018,endothelial_LAMB2_astrocytes_SV2A
mural,OPC,LAMB2,SV2A,9.343333398066108,mural_LAMB2_OPC_SV2A
mural,Olig,LAMB2,SV2A,13.78471280149458,mural_LAMB2_Olig_SV2A
mural,astrocytes,LAMB2,SV2A,12.092807223888604,mural_LAMB2_astrocytes_SV2A
OPC,astrocytes,LAMC1,DAG1,19.55710283706606,OPC_LAMC1_astrocytes_DAG1
OPC,endothelial,LAMC1,DAG1,9.71449592574162,OPC_LAMC1_endothelial_DAG1
OPC,mural,LAMC1,DAG1,10.035481276686287,OPC_LAMC1_mural_DAG1
astrocytes,OPC,LAMC1,DAG1,17.61475586470576,astrocytes_LAMC1_OPC_DAG1
astrocytes,endothelial,LAMC1,DAG1,12.310719880677642,astrocytes_LAMC1_endothelial_DAG1
astrocytes,mural,LAMC1,DAG1,10.607890396834222,astrocytes_LAMC1_mural_DAG1
endothelial,OPC,LAMC1,DAG1,11.434847125347686,endothelial_LAMC1_OPC_DAG1
endothelial,astrocytes,LAMC1,DAG1,14.738343642681729,endothelial_LAMC1_astrocytes_DAG1
endothelial,mural,LAMC1,DAG1,10.33568492842454,endothelial_LAMC1_mural_DAG1
mural,OPC,LAMC1,DAG1,9.422477699203712,mural_LAMC1_OPC_DAG1
mural,astrocytes,LAMC1,DAG1,12.118460933562174,mural_LAMC1_astrocytes_DAG1
mural,endothelial,LAMC1,DAG1,10.70552146811388,mural_LAMC1_endothelial_DAG1
OPC,mural,LAMC1,ITGB1,3.3439156957343776,OPC_LAMC1_mural_ITGB1
astrocytes,mural,LAMC1,ITGB1,7.17780484843562,astrocytes_LAMC1_mural_ITGB1
