"","L2-L3-eNeuron_endothelial","Lhx6-iNeuron_endothelial","Adarb2-iNeuron_endothelial","microglia_endothelial","mural_endothelial","astrocytes_endothelial","OPC_endothelial","L4-eNeuron_endothelial","L5-eNeuron_endothelial","L6-eNeuron_endothelial","Olig_endothelial"
"Lig_bk",16,20,17,20,29,23,24,17,20,19,23
"Rec_bk",29,29,29,29,29,29,29,29,29,29,29
"ICG_bk",98,98,98,98,98,98,98,98,98,98,98
"LRpair",0,1,0,4,11,6,2,2,2,0,6
"RecTFpair",0,1,0,7,10,4,2,2,2,0,7
"TFTGpair",0,11,0,18,18,11,11,11,11,0,13
"Ligand",0,1,0,4,10,5,2,1,1,0,5
"Receptor",0,1,0,4,7,4,2,2,2,0,6
"TF",0,1,0,4,4,1,1,1,1,0,2
"TG",0,11,0,15,15,11,11,11,11,0,13
