panel,row_kind,sender_ct,receiver_ct,ligand,receptor,gene_symbol,gene_cell_type,att,degree_in_top60_subgraph,degree_centrality,is_hub_labeled
A,heatmap_ct_pair_top100,Bcell,Macrophage,,,,,0.9971916154026982,,,
A,heatmap_ct_pair_top100,Bcell,Stroma,,,,,0.4787149131298064,,,
A,heatmap_ct_pair_top100,Endothelial,Stroma,,,,,0.8293689042329785,,,
A,heatmap_ct_pair_top100,Macrophage,Endothelial,,,,,3.5171907842159267,,,
A,heatmap_ct_pair_top100,Macrophage,Stroma,,,,,0.31819859147071833,,,
A,heatmap_ct_pair_top100,Malignant,Bcell,,,,,0.4745425283908843,,,
A,heatmap_ct_pair_top100,Malignant,Endothelial,,,,,0.4745425283908843,,,
A,heatmap_ct_pair_top100,Malignant,Macrophage,,,,,1.4199983477592464,,,
A,heatmap_ct_pair_top100,Malignant,Stroma,,,,,1.674234941601753,,,
A,heatmap_ct_pair_top100,Malignant,Tcell,,,,,0.305656760931015,,,
A,heatmap_ct_pair_top100,Stroma,Endothelial,,,,,0.1130497753620147,,,
A,heatmap_ct_pair_top100,Stroma,Tcell,,,,,1.8558403551578515,,,
A,heatmap_ct_pair_top100,Tcell,Stroma,,,,,4.700127840042113,,,
B,sankey_lr_top30,Tcell,Stroma,PLEKHO2,PDGFRB,,,0.3909916281700134,,,
B,sankey_lr_top30,Macrophage,Endothelial,PLA2G2A,ITGA5,,,0.3829003572463989,,,
B,sankey_lr_top30,Malignant,Stroma,UBA52,NOTCH1,,,0.3534079194068908,,,
B,sankey_lr_top30,Tcell,Stroma,GZMA,F2RL2,,,0.3274416923522949,,,
B,sankey_lr_top30,Tcell,Stroma,ITGAL,ICAM1,,,0.3175662755966186,,,
B,sankey_lr_top30,Macrophage,Endothelial,FASLG,TNFRSF1A,,,0.3130334317684173,,,
B,sankey_lr_top30,Tcell,Stroma,CTSG,F2RL2,,,0.311837375164032,,,
B,sankey_lr_top30,Macrophage,Endothelial,C3,CD81,,,0.3117901980876922,,,
B,sankey_lr_top30,Macrophage,Endothelial,GRN,TNFRSF1A,,,0.310934454202652,,,
B,sankey_lr_top30,Malignant,Tcell,CDH1,KLRG1,,,0.305656760931015,,,
B,sankey_lr_top30,Macrophage,Endothelial,LYZ,ITGAL,,,0.3022387027740478,,,
B,sankey_lr_top30,Macrophage,Endothelial,ANGPTL2,ITGA5,,,0.297306090593338,,,
B,sankey_lr_top30,Tcell,Stroma,GAS6,AXL,,,0.2855547368526459,,,
B,sankey_lr_top30,Macrophage,Endothelial,ANGPTL4,ITGA5,,,0.2724498808383941,,,
B,sankey_lr_top30,Malignant,Stroma,JAG2,NOTCH3,,,0.2513617277145386,,,
B,sankey_lr_top30,Tcell,Stroma,TIGIT,PVR,,,0.249909222126007,,,
B,sankey_lr_top30,Malignant,Stroma,PTN,SDC3,,,0.2489595115184784,,,
B,sankey_lr_top30,Malignant,Stroma,APP,NCSTN,,,0.2409355342388153,,,
B,sankey_lr_top30,Macrophage,Endothelial,TNFSF13,TNFRSF1A,,,0.2326103150844574,,,
B,sankey_lr_top30,Malignant,Stroma,PSEN1,NOTCH3,,,0.2307941913604736,,,
B,sankey_lr_top30,Tcell,Stroma,ICOS,ICOSLG,,,0.2285791039466858,,,
B,sankey_lr_top30,Macrophage,Endothelial,PLAU,ITGA5,,,0.2268304526805877,,,
B,sankey_lr_top30,Tcell,Stroma,WNT5B,FZD2,,,0.2258388102054596,,,
B,sankey_lr_top30,Macrophage,Endothelial,TNFSF13,TNFRSF14,,,0.2220253646373748,,,
B,sankey_lr_top30,Tcell,Stroma,C3,CD81,,,0.2129731774330139,,,
B,sankey_lr_top30,Bcell,Macrophage,IL34,CSF1R,,,0.205969825387001,,,
B,sankey_lr_top30,Bcell,Stroma,CTSG,F2RL2,,,0.2004356682300567,,,
B,sankey_lr_top30,Tcell,Stroma,CD48,CD2,,,0.199083924293518,,,
B,sankey_lr_top30,Macrophage,Stroma,VCAN,CD44,,,0.1990528106689453,,,
B,sankey_lr_top30,Bcell,Macrophage,HLA-DOB,CD4,,,0.1988584548234939,,,
C,bundling_node_labeled,,,,,NOTCH3,Stroma,,5.0,0.05376344086021506,True
C,bundling_node_labeled,,,,,ITGA5,Endothelial,,4.0,0.043010752688172046,True
C,bundling_node_labeled,,,,,TNFRSF1A,Endothelial,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,ICAM1,Stroma,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,PVR,Stroma,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,NRP1,Tcell,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,CD4,Macrophage,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,F2RL2,Stroma,,3.0,0.03225806451612903,True
C,bundling_node_labeled,,,,,TNFSF13,Macrophage,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,LTB,Tcell,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,TGFB1,Tcell,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,ACVR1,Stroma,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,CD2,Stroma,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,AXL,Tcell,,2.0,0.021505376344086023,True
C,bundling_node_labeled,,,,,HSPG2,Endothelial,,2.0,0.021505376344086023,True
