panel,row_kind,sender_ct,receiver_ct,ligand,receptor,gene_symbol,gene_cell_type,att,degree_in_top60_subgraph,degree_centrality,is_hub_labeled
A,chord_flow_top100,Adarb2-iNeuron,L4-eNeuron,,,,,0.2938046455383301,,,
A,chord_flow_top100,Adarb2-iNeuron,OPC,,,,,0.1370360851287841,,,
A,chord_flow_top100,Adarb2-iNeuron,Olig,,,,,0.31546151638031,,,
A,chord_flow_top100,Adarb2-iNeuron,microglia,,,,,0.2655780017375946,,,
A,chord_flow_top100,Adarb2-iNeuron,mural,,,,,0.5987833738327026,,,
A,chord_flow_top100,L2-L3-eNeuron,microglia,,,,,0.2198992818593979,,,
A,chord_flow_top100,L2-L3-eNeuron,mural,,,,,0.722681254148483,,,
A,chord_flow_top100,L4-eNeuron,endothelial,,,,,0.200602889060974,,,
A,chord_flow_top100,L4-eNeuron,mural,,,,,0.39763149619102467,,,
A,chord_flow_top100,L5-eNeuron,L4-eNeuron,,,,,0.1896786987781524,,,
A,chord_flow_top100,L5-eNeuron,endothelial,,,,,0.2269557416439055,,,
A,chord_flow_top100,L5-eNeuron,microglia,,,,,0.1027772203087806,,,
A,chord_flow_top100,L5-eNeuron,mural,,,,,0.102595254778862,,,
A,chord_flow_top100,L6-eNeuron,L4-eNeuron,,,,,0.2398265898227691,,,
A,chord_flow_top100,L6-eNeuron,OPC,,,,,0.1478476822376251,,,
A,chord_flow_top100,L6-eNeuron,Olig,,,,,0.226207435131073,,,
A,chord_flow_top100,L6-eNeuron,microglia,,,,,0.183016300201416,,,
A,chord_flow_top100,L6-eNeuron,mural,,,,,0.5420356839895248,,,
A,chord_flow_top100,Lhx6-iNeuron,Adarb2-iNeuron,,,,,0.1100033521652221,,,
A,chord_flow_top100,Lhx6-iNeuron,L2-L3-eNeuron,,,,,0.1020299717783927,,,
A,chord_flow_top100,Lhx6-iNeuron,L4-eNeuron,,,,,0.5571810603141785,,,
